,person_id,mode_probs,amenity_probs,predict_mode_numeric,predict_amenity_numeric,income_group,household_size,vehicles,family_structure,age_group,target_amenity,target_mode,target_amenity_numeric,target_mode_numeric,predict_mode,predict_amenity
0,7.600486064949899e+18,[0.55 0.35 0.1 ],[0.42105263 0.31578947 0.21052632 0.05263158],1.0,0.0,Debt,3_person,0,nonfamily_single,Young Adult,Nonalcoholic Bars,Walking,1.0,0,Public_transport,Limited-Service Restaurants
1,8.362512996903005e+18,[0.25 0.2  0.55],[0.15 0.1  0.71 0.04],0.0,0.0,Low,2_person,2,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Walking,Limited-Service Restaurants
3,1.0071335025903251e+19,[0.44 0.14 0.42],[0.35 0.08 0.55 0.02],2.0,0.0,High,3_person,1,married_couple,Young Adult,Nonalcoholic Bars,Walking,1.0,0,Car,Limited-Service Restaurants
4,1.821605400043433e+19,[0.15 0.2  0.65],[0.12 0.02 0.85 0.01],2.0,2.0,Low,1_person,1,living_alone,Elderly,Drinking Places,Car,3.0,2,Car,Full-Service Restaurants
5,1.0667773244889338e+19,[0.4 0.4 0.2],[0.4  0.15 0.3  0.15],2.0,3.0,Low,7_plus_person,1,married_couple,Young Adult,Full-Service Restaurants,Public_transport,2.0,1,Car,Drinking Places
6,4.070314964041576e+18,[0.25 0.35 0.4 ],[0.2  0.05 0.73 0.02],0.0,2.0,Moderate,3_person,3_plus,nonfamily_single,Young Adult,Limited-Service Restaurants,Walking,0.0,0,Walking,Full-Service Restaurants
7,1.2885427959691106e+19,[0.12 0.26 0.62],[0.31578947 0.10526316 0.52631579 0.05263158],2.0,3.0,Very High,3_person,3_plus,family_single,Senior,Limited-Service Restaurants,Car,0.0,2,Car,Drinking Places
8,3.10199410911337e+18,[0.15 0.18 0.67],[0.26 0.12 0.58 0.04],0.0,3.0,High,2_person,2,nonfamily_single,Adult,Limited-Service Restaurants,Public_transport,0.0,1,Walking,Drinking Places
9,1.77248120754765e+19,[0.4 0.4 0.2],[0.3  0.05 0.6  0.05],0.0,2.0,Debt,7_plus_person,1,married_couple,Adult,Full-Service Restaurants,Public_transport,2.0,1,Walking,Full-Service Restaurants
10,1.545106594786923e+18,[0.08 0.28 0.64],[0.31958763 0.17525773 0.46391753 0.04123711],2.0,1.0,High,3_person,3_plus,married_couple,Elderly,Nonalcoholic Bars,Car,1.0,2,Car,Nonalcoholic Bars
11,1.3080210318158606e+19,[0.25 0.6  0.15],[0.22105263 0.28421053 0.45263158 0.04210526],0.0,2.0,Low,3_person,0,family_single,Young Adult,Nonalcoholic Bars,Walking,1.0,0,Walking,Full-Service Restaurants
13,1.151087097270117e+19,[0.35 0.4  0.25],[0.15 0.05 0.75 0.05],1.0,2.0,Debt,6_person,0,nonfamily_single,Young Adult,Nonalcoholic Bars,Walking,1.0,0,Public_transport,Full-Service Restaurants
14,1.241589407882131e+19,[0.05 0.85 0.1 ],[0.28 0.04 0.64 0.04],1.0,2.0,High,2_person,0,married_couple,Middle Age,Nonalcoholic Bars,Public_transport,1.0,1,Public_transport,Full-Service Restaurants
16,1.8215067173106444e+19,[0.19 0.26 0.55],[0.15 0.31 0.51 0.03],2.0,2.0,Very High,4_person,2,married_couple,Middle Age,Limited-Service Restaurants,Car,0.0,2,Car,Full-Service Restaurants
17,1.5205639798626724e+19,[0.55 0.4  0.05],[0.25 0.1  0.6  0.05],1.0,2.0,Moderate,3_person,0,family_single,Elderly,Drinking Places,Walking,3.0,0,Public_transport,Full-Service Restaurants
18,1.0527771326346113e+19,[0.17 0.26 0.57],[0.15 0.34 0.47 0.04],0.0,2.0,Moderate,2_person,1,nonfamily_single,Senior,Nonalcoholic Bars,Walking,1.0,0,Walking,Full-Service Restaurants
19,7.999406880555621e+18,[0.13 0.45 0.42],[0.14 0.31 0.48 0.07],2.0,3.0,Low,2_person,0,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Car,Drinking Places
20,5.195620046872372e+18,[0.1  0.25 0.65],[0.23 0.1  0.62 0.05],2.0,0.0,Ultra High,4_person,1,married_couple,Adult,Full-Service Restaurants,Public_transport,2.0,1,Car,Limited-Service Restaurants
