,person_id,mode_probs,amenity_probs,predict_mode_numeric,predict_amenity_numeric,income_group,household_size,vehicles,family_structure,age_group,target_amenity,target_mode,target_amenity_numeric,target_mode_numeric,predict_mode,predict_amenity
1,8.362512996903005e+18,[0.26 0.18 0.56],[0.16216216 0.05405405 0.75675676 0.02702703],2.0,2.0,Low,2_person,2,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Car,Full-Service Restaurants
2,1.381424547066981e+19,[0.31 0.42 0.27],[0.21 0.1  0.63 0.06],1.0,0.0,Moderate,3_person,2,nonfamily_single,Young Adult,Limited-Service Restaurants,Public_transport,0.0,1,Public_transport,Limited-Service Restaurants
3,1.821605400043433e+19,[0.1  0.35 0.55],[0.1  0.5  0.35 0.05],2.0,1.0,Low,1_person,1,living_alone,Elderly,Drinking Places,Car,3.0,2,Car,Nonalcoholic Bars
5,3.10199410911337e+18,[0.15 0.45 0.4 ],[0.15306122 0.05102041 0.76530612 0.03061224],1.0,2.0,High,2_person,2,nonfamily_single,Adult,Limited-Service Restaurants,Public_transport,0.0,1,Public_transport,Full-Service Restaurants
6,1.77248120754765e+19,[0.58 0.2  0.22],[0.15 0.03 0.81 0.01],0.0,2.0,Debt,7_plus_person,1,married_couple,Adult,Full-Service Restaurants,Public_transport,2.0,1,Walking,Full-Service Restaurants
7,1.545106594786923e+18,[0.25 0.3  0.45],[0.15 0.23 0.58 0.04],0.0,1.0,High,3_person,3_plus,married_couple,Elderly,Nonalcoholic Bars,Car,1.0,2,Walking,Nonalcoholic Bars
8,3.4185638317953987e+18,[0.1  0.17 0.73],[0.27835052 0.1443299  0.53608247 0.04123711],2.0,0.0,High,3_person,1,married_couple,Elderly,Limited-Service Restaurants,Public_transport,0.0,1,Car,Limited-Service Restaurants
9,1.151087097270117e+19,[0.2  0.75 0.05],[0.6  0.12 0.15 0.13],2.0,0.0,Debt,6_person,0,nonfamily_single,Young Adult,Nonalcoholic Bars,Walking,1.0,0,Car,Limited-Service Restaurants
10,1.5747874970960867e+19,[0.25 0.5  0.25],[0.26 0.15 0.48 0.11],1.0,2.0,High,2_person,1,married_couple,Young Adult,Full-Service Restaurants,Car,2.0,2,Public_transport,Full-Service Restaurants
11,1.8215067173106444e+19,[0.22 0.36 0.42],[0.17346939 0.06122449 0.74489796 0.02040816],2.0,2.0,Very High,4_person,2,married_couple,Middle Age,Limited-Service Restaurants,Car,0.0,2,Car,Full-Service Restaurants
12,1.5205639798626724e+19,[0.18367347 0.6122449  0.20408163],[0.25510204 0.05102041 0.66326531 0.03061224],0.0,2.0,Moderate,3_person,0,family_single,Elderly,Drinking Places,Walking,3.0,0,Walking,Full-Service Restaurants
13,1.0527771326346113e+19,[0.19 0.52 0.29],[0.05 0.11 0.83 0.01],1.0,0.0,Moderate,2_person,1,nonfamily_single,Senior,Nonalcoholic Bars,Walking,1.0,0,Public_transport,Limited-Service Restaurants
14,7.999406880555621e+18,[0.22 0.42 0.36],[0.1  0.28 0.6  0.02],2.0,2.0,Low,2_person,0,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Car,Full-Service Restaurants
15,5.195620046872372e+18,[0.21 0.17 0.62],[0.26 0.15 0.55 0.04],0.0,1.0,Ultra High,4_person,1,married_couple,Adult,Full-Service Restaurants,Public_transport,2.0,1,Walking,Nonalcoholic Bars
16,5.550499036045789e+18,[0.24 0.32 0.44],[0.2  0.1  0.65 0.05],0.0,0.0,Very High,3_person,2,married_couple,Adult,Nonalcoholic Bars,Walking,1.0,0,Walking,Limited-Service Restaurants
