,activity_id,origin_bgrp_2020,origin_trct_2020,origin_cty_2020,origin_st_2020,destination_bgrp_2020,destination_trct_2020,destination_cty_2020,destination_st_2020,primary_mode,trip_purpose,previous_trip_purpose,trip_start_time,trip_end_time,trip_duration_minutes,trip_distance_miles,vehicle_type,vehicle_fuel_type,transit_submode,transit_agency,transit_route,origin_land_use,origin_building_use,destination_land_use,destination_building_use,trip_taker_person_id,trip_taker_household_id,trip_taker_age,trip_taker_sex,trip_taker_race_ethnicity,trip_taker_employment_status,trip_taker_wfh,trip_taker_individual_income,trip_taker_commute_mode,trip_taker_household_size,trip_taker_household_income,trip_taker_available_vehicles,trip_taker_resident_type,trip_taker_industry,trip_taker_building_type,trip_taker_school_grade_attending,trip_taker_education,trip_taker_tenure,trip_taker_language,trip_taker_home_bgrp_2020,trip_taker_home_trct_2020,trip_taker_home_cty_2020,trip_taker_home_st_2020,trip_taker_work_bgrp_2020,trip_taker_work_trct_2020,trip_taker_work_cty_2020,trip_taker_work_st_2020
81737,15898220204319014002,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3525, Middlesex, MA)","3525 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,other_activity_type,home,15:22:00,15:34:22,12,0.6,unknown_vehicle_type,unknown_fuel_type,,,,mixed_use,multi_family,education,education,11970818749387655991,11446311373506883022,29,female,asian_not_hispanic_or_latino,employed,remote,142513,worked_from_home,2,347732,one,core,naics62,multiple_units,not_attending_school,bachelors_degree,renter,english,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3524, Middlesex, MA)","3524 (Middlesex, MA)","Middlesex County, MA",Massachusetts
72365,13371649717588080966,"4 (Tract 3594, Middlesex, MA)","3594 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"5 (Tract 3594, Middlesex, MA)","3594 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,shop,home,16:07:00,16:12:17,5,0.3,unknown_vehicle_type,unknown_fuel_type,,,,mixed_use,multi_family,retail,retail,10037235632858268898,1408109287664852676,28,female,hispanic_or_latino_origin,employed,employed_not_working,5941,public_transit,1,5941,zero,core,naics5616,multiple_units,graduate,bachelors_degree,renter,spanish,"4 (Tract 3594, Middlesex, MA)","3594 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 606.01, Suffolk, MA)","606.01 (Suffolk, MA)","Suffolk County, MA",Massachusetts
32513,16803367573359174508,"1 (Tract 3533, Middlesex, MA)","3533 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3531.01, Middlesex, MA)","3531.01 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,home,social,13:38:00,13:47:15,9,0.5,unknown_vehicle_type,unknown_fuel_type,,,,single_family,single_family,multi_family,multi_family,3696223847047063943,16000296355698529993,20,male,white_not_hispanic_or_latino,employed,employed_not_working,1781,worked_from_home,3,8126,zero,core,naics54,several_units,undergraduate,some_college,renter,english,"1 (Tract 3531.01, Middlesex, MA)","3531.01 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3531.01, Middlesex, MA)","3531.01 (Middlesex, MA)","Middlesex County, MA",Massachusetts
81561,10576431028751172072,"2 (Tract 3523, Middlesex, MA)","3523 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3550, Middlesex, MA)","3550 (Middlesex, MA)","Middlesex County, MA",Massachusetts,private_auto,home,work,21:56:00,22:11:43,15,5.1,unknown_vehicle_type,other_non_bev,,,,retail,retail,mixed_use,multi_family,948480481286586474,6329455910219484455,29,male,white_not_hispanic_or_latino,employed,in_person,156346,private_auto,2,291847,two,core,naics54,several_units,not_attending_school,advanced_degree,renter,english,"1 (Tract 3550, Middlesex, MA)","3550 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3523, Middlesex, MA)","3523 (Middlesex, MA)","Middlesex County, MA",Massachusetts
148665,11727737331851147794,"1 (Tract 3541, Middlesex, MA)","3541 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3540, Middlesex, MA)","3540 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,home,recreation,12:23:00,12:36:13,13,0.7,unknown_vehicle_type,unknown_fuel_type,,,,non_retail_attraction,non_retail_attraction,single_family,single_family,5005991725937095470,4628534030111422711,60,male,black_not_hispanic_or_latino,not_in_labor_force,unemployed_under_16_not_in_labor_force,0,other_travel_mode,4,105982,one,core,not_working,single_family,not_attending_school,bachelors_degree,owner,other,"2 (Tract 3540, Middlesex, MA)","3540 (Middlesex, MA)","Middlesex County, MA",Massachusetts,Does not have work/school location,Does not have work/school location,Does not have work/school location,Does not have work/school location
117562,2777082718999325430,"2 (Tract 3539, Middlesex, MA)","3539 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,work,home,08:08:00,08:40:21,32,1.7,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,education,education,385717578788947912,8788300839605040136,40,male,white_not_hispanic_or_latino,employed,in_person,58369,walking,2,110484,one,core,naics61,several_units,not_attending_school,advanced_degree,renter,english,"2 (Tract 3539, Middlesex, MA)","3539 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts
79282,16568832463625662505,"3 (Tract 3540, Middlesex, MA)","3540 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3528, Middlesex, MA)","3528 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,eat,home,21:27:00,21:56:01,29,1.5,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,mixed_use,retail,11039385115915841280,440097100992951393,29,male,hispanic_or_latino_origin,employed,in_person,136751,public_transit,1,136751,zero,core,naics23,multiple_units,not_attending_school,advanced_degree,renter,english,"3 (Tract 3540, Middlesex, MA)","3540 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts
84378,10776379275066958434,"1 (Tract 3523, Middlesex, MA)","3523 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3536, Middlesex, MA)","3536 (Middlesex, MA)","Middlesex County, MA",Massachusetts,private_auto,shop,home,15:05:00,15:13:48,8,2.4,unknown_vehicle_type,other_non_bev,,,,multi_family,multi_family,office,office,16581303207938372018,2699730888998667414,30,male,white_not_hispanic_or_latino,employed,remote,46756,worked_from_home,3,110880,two,core,naics54,several_units,not_attending_school,bachelors_degree,renter,english,"1 (Tract 3523, Middlesex, MA)","3523 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"3 (Tract 3523, Middlesex, MA)","3523 (Middlesex, MA)","Middlesex County, MA",Massachusetts
146386,16579069599832234034,"1 (Tract 3524, Middlesex, MA)","3524 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3546.02, Middlesex, MA)","3546.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,private_auto,home,work,15:18:00,15:29:24,11,2.8,unknown_vehicle_type,other_non_bev,,,,office,office,multi_family,multi_family,10842436447749661068,1501805762195381641,58,male,asian_not_hispanic_or_latino,employed,in_person,88827,private_auto,3,165811,one,core,naics54,multiple_units,not_attending_school,advanced_degree,renter,asian_pacific,"1 (Tract 3546.02, Middlesex, MA)","3546.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3524, Middlesex, MA)","3524 (Middlesex, MA)","Middlesex County, MA",Massachusetts
70513,13631409645539567680,"1 (Tract 3540, Middlesex, MA)","3540 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"5 (Tract 3537, Middlesex, MA)","3537 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,home,eat,18:52:00,19:07:27,15,0.8,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,mixed_use,multi_family,225261101330443049,9048373357806017897,27,male,white_not_hispanic_or_latino,employed,employed_not_working,127585,public_transit,2,220374,one,core,naics441120,multiple_units,not_attending_school,bachelors_degree,renter,english,"5 (Tract 3537, Middlesex, MA)","3537 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 4177.03, Norfolk, MA)","4177.03 (Norfolk, MA)","Norfolk County, MA",Massachusetts
