,activity_id,origin_bgrp_2020,origin_trct_2020,origin_cty_2020,origin_st_2020,destination_bgrp_2020,destination_trct_2020,destination_cty_2020,destination_st_2020,primary_mode,trip_purpose,previous_trip_purpose,trip_start_time,trip_end_time,trip_duration_minutes,trip_distance_miles,vehicle_type,vehicle_fuel_type,transit_submode,transit_agency,transit_route,origin_land_use,origin_building_use,destination_land_use,destination_building_use,trip_taker_person_id,trip_taker_household_id,trip_taker_age,trip_taker_sex,trip_taker_race_ethnicity,trip_taker_employment_status,trip_taker_wfh,trip_taker_individual_income,trip_taker_commute_mode,trip_taker_household_size,trip_taker_household_income,trip_taker_available_vehicles,trip_taker_resident_type,trip_taker_industry,trip_taker_building_type,trip_taker_school_grade_attending,trip_taker_education,trip_taker_tenure,trip_taker_language,trip_taker_home_bgrp_2020,trip_taker_home_trct_2020,trip_taker_home_cty_2020,trip_taker_home_st_2020,trip_taker_work_bgrp_2020,trip_taker_work_trct_2020,trip_taker_work_cty_2020,trip_taker_work_st_2020
2006793,18090840079644609145,"2 (Tract 234, San Francisco, CA)","234 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 234, San Francisco, CA)","234 (San Francisco, CA)","San Francisco County, CA",California,walking,shop,home,17:52:00,17:58:46,6,0.4,unknown_vehicle_type,unknown_fuel_type,,,,single_family,single_family,mixed_use,retail,10492341179501761902,8657216730459197019,65,female,hispanic_or_latino_origin,not_in_labor_force,unemployed_under_16_not_in_labor_force,38184,other_travel_mode,8,121902,three_plus,core,not_working,single_family,not_attending_school,some_college,renter,spanish,"2 (Tract 234, San Francisco, CA)","234 (San Francisco, CA)","San Francisco County, CA",California,Does not have work/school location,Does not have work/school location,Does not have work/school location,Does not have work/school location
1764874,5445158065921112000,"1 (Tract 252, San Francisco, CA)","252 (San Francisco, CA)","San Francisco County, CA",California,"1 (Tract 332.01, San Francisco, CA)","332.01 (San Francisco, CA)","San Francisco County, CA",California,private_auto,school,maintenance,13:03:00,13:14:23,11,5.7,unknown_vehicle_type,other_non_bev,,,,mixed_use,office,education,education,8931874815908968963,7454629536459613321,28,male,white_not_hispanic_or_latino,employed,employed_not_working,171016,worked_from_home,5,1066685,two,core,naics54,single_family,not_attending_school,bachelors_degree,renter,indo_european,"2 (Tract 255.01, San Francisco, CA)","255.01 (San Francisco, CA)","San Francisco County, CA",California,"3 (Tract 255.01, San Francisco, CA)","255.01 (San Francisco, CA)","San Francisco County, CA",California
873881,17728441125544456735,"1 (Tract 615.06, San Francisco, CA)","615.06 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 135, San Francisco, CA)","135 (San Francisco, CA)","San Francisco County, CA",California,private_auto,work,home,07:34:00,07:46:08,12,3.4,unknown_vehicle_type,other_non_bev,,,,mixed_use,multi_family,mixed_use,healthcare,2947711666535213735,16800946505470734581,57,female,white_not_hispanic_or_latino,employed,in_person,76984,private_auto,2,255587,two,core,naics622310,multiple_units,not_attending_school,advanced_degree,owner,asian_pacific,"1 (Tract 615.06, San Francisco, CA)","615.06 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 135, San Francisco, CA)","135 (San Francisco, CA)","San Francisco County, CA",California
355393,12868445890813367525,"3 (Tract 310, San Francisco, CA)","310 (San Francisco, CA)","San Francisco County, CA",California,"3 (Tract 312.01, San Francisco, CA)","312.01 (San Francisco, CA)","San Francisco County, CA",California,private_auto,home,shop,13:34:00,13:34:54,0,0.2,unknown_vehicle_type,other_non_bev,,,,retail,retail,education,education,2152628268509066911,5015608846551286635,18,female,white_not_hispanic_or_latino,unemployed,unemployed_under_16_not_in_labor_force,2087,other_travel_mode,1,0,unknown_num_vehicles,core,not_working,GQ_structure,undergraduate,high_school,GQ,GQ_language,"3 (Tract 312.01, San Francisco, CA)","312.01 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 310, San Francisco, CA)","310 (San Francisco, CA)","San Francisco County, CA",California
1282949,3093230437939265546,"2 (Tract 306, San Francisco, CA)","306 (San Francisco, CA)","San Francisco County, CA",California,"4 (Tract 261, San Francisco, CA)","261 (San Francisco, CA)","San Francisco County, CA",California,walking,home,eat,12:22:00,13:11:28,49,2.6,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,single_family,single_family,16565966883935700832,12671469735435386171,29,female,asian_not_hispanic_or_latino,unemployed,unemployed_under_16_not_in_labor_force,41692,other_travel_mode,6,240773,three_plus,core,naics72,single_family,undergraduate,some_college,owner,asian_pacific,"4 (Tract 261, San Francisco, CA)","261 (San Francisco, CA)","San Francisco County, CA",California,"3 (Tract 311, San Francisco, CA)","311 (San Francisco, CA)","San Francisco County, CA",California
826688,11468767360444693639,"3 (Tract 262.01, San Francisco, CA)","262.01 (San Francisco, CA)","San Francisco County, CA",California,"1 (Tract 332.01, San Francisco, CA)","332.01 (San Francisco, CA)","San Francisco County, CA",California,private_auto,shop,home,08:16:00,08:23:31,7,2.3,unknown_vehicle_type,other_non_bev,,,,single_family,single_family,retail,retail,5952766851199660333,10383059133666342264,27,female,asian_not_hispanic_or_latino,employed,in_person,173,private_auto,1,173,three_plus,core,naics722511,single_family,not_attending_school,bachelors_degree,owner,asian_pacific,"3 (Tract 262.01, San Francisco, CA)","262.01 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 477.01, San Francisco, CA)","477.01 (San Francisco, CA)","San Francisco County, CA",California
496846,14100602808849106839,"3 (Tract 167, San Francisco, CA)","167 (San Francisco, CA)","San Francisco County, CA",California,"3 (Tract 167, San Francisco, CA)","167 (San Francisco, CA)","San Francisco County, CA",California,other_travel_mode,recreation,recreation,23:14:00,23:14:00,0,0.0,,unknown_fuel_type,,,,open_space,open_space,open_space,open_space,6735813961911411511,12401862054405492502,20,female,black_not_hispanic_or_latino,unemployed,unemployed_under_16_not_in_labor_force,0,other_travel_mode,1,0,unknown_num_vehicles,core,not_working,GQ_structure,not_attending_school,high_school,GQ,GQ_language,"4 (Tract 123.02, San Francisco, CA)","123.02 (San Francisco, CA)","San Francisco County, CA",California,Does not have work/school location,Does not have work/school location,Does not have work/school location,Does not have work/school location
1463176,9528794300122878157,"1 (Tract 9809, San Francisco, CA)","9809 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 329.02, San Francisco, CA)","329.02 (San Francisco, CA)","San Francisco County, CA",California,private_auto,eat,work,19:20:00,19:37:55,17,11.0,unknown_vehicle_type,other_non_bev,,,,mixed_use,retail,retail,retail,2871675484698889406,376131799771797571,40,female,asian_not_hispanic_or_latino,employed,in_person,83510,private_auto,4,114594,three_plus,core,naics4422,several_units,not_attending_school,bachelors_degree,renter,asian_pacific,"3 (Tract 354, San Francisco, CA)","354 (San Francisco, CA)","San Francisco County, CA",California,"1 (Tract 9809, San Francisco, CA)","9809 (San Francisco, CA)","San Francisco County, CA",California
1869160,4577912611044051211,"3 (Tract 168.01, San Francisco, CA)","168.01 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 169, San Francisco, CA)","169 (San Francisco, CA)","San Francisco County, CA",California,walking,eat,home,14:55:00,15:04:06,9,0.5,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,retail,retail,5200984170265988597,6076293286611821792,32,female,two_races_not_hispanic_or_latino,employed,employed_not_working,88596,worked_from_home,2,375231,zero,core,naics56,multiple_units,not_attending_school,bachelors_degree,renter,english,"3 (Tract 168.01, San Francisco, CA)","168.01 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 168.01, San Francisco, CA)","168.01 (San Francisco, CA)","San Francisco County, CA",California
1719254,16378655361969913965,"2 (Tract 133, San Francisco, CA)","133 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 128.01, San Francisco, CA)","128.01 (San Francisco, CA)","San Francisco County, CA",California,private_auto,home,recreation,15:08:00,15:13:29,5,1.3,unknown_vehicle_type,other_non_bev,,,,non_retail_attraction,non_retail_attraction,multi_family,multi_family,5253035973507435893,1958417557496983100,27,male,white_not_hispanic_or_latino,employed,employed_not_working,218885,public_transit,2,231393,one,core,naics54,several_units,not_attending_school,bachelors_degree,renter,english,"2 (Tract 128.01, San Francisco, CA)","128.01 (San Francisco, CA)","San Francisco County, CA",California,"2 (Tract 105, San Francisco, CA)","105 (San Francisco, CA)","San Francisco County, CA",California
