,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,14941376504966255761,16,male,not_in_labor_force,4,140343,two,not_working,k_12,eat,14,walking,10-20,Under 18,$100k-$150k,auto_passenger,10-20,"[""As a young person with two vehicles available in a household of four, the likelihood of car travel is high, especially with two cars available, and with a higher income group, the private auto is more likely to be used for trips."", ""Walking is a common mode in Cambridge, MA, especially for short distances, but given the age group and the desire to eat, which may require traveling to a restaurant, walking may not be the best option."", ""Public transit is an option, but with the availability of private vehicles, it's less likely to be used for a trip to eat."", ""Biking is possible in Cambridge, but with the age group being under 18, it's less likely to be the primary mode of travel for a trip to eat.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
1,741506727884677094,60,male,employed,1,37850,one,naics445110,bachelors_degree,eat,14,walking,50-60,55-64,$10k-$50k,public_transit,20-30,"[""As a 55-64 year old employed individual with a bachelor's degree and a household size of 1, I am likely to value convenience and reliability in my transportation choices. Cambridge, MA is a city with good public transit options, so I might consider public_transit as a viable option. However, since I have a car available, I may prefer driving options like private_auto or auto_passenger if the destination is nearby. Walking is also feasible if the distance is short, but I might prioritize speed over walking for a meal. Considering the available choices, I would lean towards private_auto for its convenience and reliability, especially for a meal. The duration for driving would be around 10-20 minutes as it's a reasonable time for a meal outing. Public_transit could be an alternative if I'm looking to avoid driving, but it might take longer, so the weight would be lower. I would also consider walking for short distances, but it's less likely given my age and the context of eating.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": "":[{"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}]"
2,5066275312758875498,17,male,employed,4,776722,three_plus,naics31_33,k_12,work,12,biking,0-10,Under 18,$300k+,public_transit,0-10,"[""As a young, highly educated, and employed individual with a high income and three or more vehicles available, I am likely to prefer driving as it offers flexibility and convenience. However, due to the potential for traffic and the desire to be punctual, I might consider alternative modes like public transit for shorter distances. Since I have a large household, the likelihood of carpooling or using public transit increases. I also value time efficiency, so I would prefer shorter travel times. The presence of multiple vehicles makes driving a common choice, especially for longer distances. However, for shorter trips, walking or biking could be viable options if the distance is not too far. The availability of public transit in Cambridge, MA is good, making it a reasonable alternative for shorter commutes. I also take into account the cultural context, where there is a growing emphasis on sustainability and public transit use, which could influence my choice.""]","[{""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-3, "", ""weight"": 0.15}]"
3,11838005633882312749,69,female,employed,2,92736,two,naics621492,advanced_degree,home,22,auto_passenger,10-20,65+,$50k-$100k,public_transit,20-30,"[""As someone in the 65+ age group with an advanced degree and employed, I prioritize comfort and safety. Cambridge, MA has good walking infrastructure and bike lanes, but as an older adult, I might prefer less physically demanding options. The availability of two cars increases the likelihood of using private auto. Public transit is an option but might be less appealing due to potential for delays and reduced comfort. Walking is feasible for short distances but might be less preferred for longer trips. The duration choices suggest a mix of short and moderate times, which aligns with the need for efficiency while allowing for comfort.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
4,813905790027797463,20,male,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,19,walking,10-20,18-24,Under $10k,walking,0-10,"[""As someone in the 18-24 age group with some college education, I am likely to prefer walking or biking for short trips due to the walkable nature of Cambridge, MA. However, the lack of vehicle availability and low income may make public transit a more practical option for longer distances."", ""The 'not in labor force' status suggests that transportation choices may be less influenced by work schedules and more by personal convenience or cost-effectiveness. Public transit could be a viable option if it's affordable and accessible."", ""Cambridge, MA has a strong public transit system, which makes it more likely for individuals with limited resources to rely on it rather than owning a vehicle. This aligns with the 'unknown_num_vehicles' and 'under $10k' profile."", ""The 'some college' education level may indicate a moderate preference for walking or biking for short distances, but the lack of vehicle availability and income constraints may push towards public transit for longer trips.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
5,9740434140416298652,24,male,employed,6,265299,zero,naics54,bachelors_degree,home,18,walking,10-20,18-24,$200k-$300k,walking,10-20,"[""As a young, educated, and employed individual in a household of six with no available vehicles, I prioritize convenience and efficiency. Cambridge,MA has a robust public transit system, making it a viable option. Walking is also common here due to the walkable neighborhoods. Auto passenger might be an option if a ride is available, but with no vehicles, this is less likely. Biking is possible but may not be the most efficient for longer distances. The duration choices reflect typical travel times for these modes in the area.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
6,5906565684705481770,26,male,employed,2,115348,one,naics54,bachelors_degree,school,8,public_transit,20-30,25-34,$100k-$150k,public_transit,20-30,"[""As a 25-34 year old with a bachelor's degree and an income between $100k-$150k, I likely prioritize time efficiency and convenience. Cambridge, MA has good public transit options, but the presence of multiple 'auto_passenger' and 'walking' choices suggests car dependency is common."", ""The target distance being unknown makes it difficult to choose between modes, but the higher weight on 'auto_passenger' (with 10-20 minute duration) indicates a preference for quick commutes, especially with a household of 2 and one available vehicle."", ""Walking and biking are less preferred due to potential weather conditions and the need for a short trip, but the lower weight on 'public_transit' (with 20-30 minute duration) suggests it's not the top choice for this profile."", ""The presence of multiple 'walking' options with 0-10 minute durations might indicate short trips or errands, but the higher weight on 'auto_passenger' shows a strong preference for driving.""]","[{""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
7,3852483032540214199,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,11,auto_passenger,0-10,18-24,Under $10k,biking,0-10,"[""As a young adult with limited income and not in the labor force, I likely prioritize cost-effective and accessible transportation options. Cambridge, MA has good public transit infrastructure, making it a viable choice. However, since I live alone and have some college education, I might prefer walking for short distances. The availability of biking lanes could make biking a reasonable option if the distance is moderate. Public transit is reliable and affordable, which suits my income level. My limited income might make car ownership less feasible, so I'm more inclined towards walking, biking, or public transit. The duration for walking could be shorter for short trips, while public transit might take longer but is reliable.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
8,14922557228822709708,36,male,employed,3,721688,zero,naics3399,advanced_degree,work,14,walking,10-20,35-44,$300k+,auto_passenger,0-10,"[""As a highly educated individual with a high income, I have access to various transportation options. However, due to the lack of available vehicles, I cannot use private auto. Walking is a viable option given the short distance, but biking might be more efficient. The reference data shows that walking and auto_passenger are the most commonly chosen modes. Given the current time of 14:00, I might be coming from work or heading to work, which could mean a longer commute. The reference data indicates that the majority of people choose walking or auto_passenger, which are the most common modes in Cambridge,MA. The duration choices vary, but the most common durations are 10-20 and 0-10 minutes. Considering the profile and reference data, the weights should be distributed accordingly.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}]"
9,4845438217054045935,44,male,employed,5,86648,one,naics61,bachelors_degree,shop,15,auto_passenger,0-10,35-44,$50k-$100k,private_auto,10-20,"[""As a working professional with a family, I prioritize reliability and convenience. Public transit is a viable option for shorter trips, but for longer distances, driving is more practical. Walking is suitable for nearby destinations. Biking is less common due to weather and safety concerns. I prefer to avoid traffic congestion and ensure timely arrival at the store.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
