,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,14941376504966255761,16,male,not_in_labor_force,4,140343,two,not_working,k_12,eat,14,walking,10-20,Under 18,$100k-$150k,walking,0-10,"[""As a young person with two available vehicles, I am likely to use a car for transportation. However, given the proximity to the destination and the desire to eat, walking might be a viable option. Since I am not in the labor force, I may not have a strict schedule, allowing for more flexibility in travel time. Cambridge, MA has a strong biking culture, so biking could be a preferred mode. Public transit is also a possibility, especially if the destination is near a transit stop."", ""The presence of multiple car options suggests a higher likelihood of using a private auto. However, walking and biking are common in Cambridge, especially for short distances. The duration for walking or biking would be shorter, while driving might take longer depending on traffic. The weight should reflect the balance between car use and alternative modes."", ""Considering the age group and education level, walking and biking are feasible for short trips. The availability of two cars increases the chance of using a private auto. However, the desire to eat might mean the trip is short, so shorter durations are more likely. Public transit is less preferred if the destination is within walking distance."", ""The profile suggests a household with multiple members, so shared transportation might be considered. However, the lack of employment might mean less frequent travel. The weight distribution should account for the likelihood of using cars versus walking or biking based on the local culture and the individual's age.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}]"
1,741506727884677094,60,male,employed,1,37850,one,naics445110,bachelors_degree,eat,14,walking,50-60,55-64,$10k-$50k,private_auto,10-20,"[""As a 55-64 year old employed individual with a bachelor's degree and a household size of 1, I likely prioritize convenience and reliability. Cambridge, MA has good public transit options, making it a viable choice. However, with an income between $10k-$50k, car ownership is common, and driving might be preferred for its flexibility. Walking is feasible for short distances but less likely for longer trips. Biking is less common for this age group unless the distance is very short. The duration choices reflect typical travel times for these modes.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
2,5066275312758875498,17,male,employed,4,776722,three_plus,naics31_33,k_12,work,12,biking,0-10,Under 18,$300k+,public_transit,20-30,"[""As an employed individual with a high income and access to multiple vehicles, I would likely prefer driving to work due to the convenience and time efficiency. However, given the availability of public transit and the potential for shorter travel times in Cambridge, I might consider it as an option. Walking and biking are less likely due to the distance and the weather conditions. The presence of multiple vehicle options makes private auto a strong choice, while public transit is a viable alternative. The duration is expected to be moderate, as driving or taking public transit would not take more than 30 minutes.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}]"
3,11838005633882312749,69,female,employed,2,92736,two,naics621492,advanced_degree,home,22,auto_passenger,10-20,65+,$50k-$100k,walking,0-10,"[""As a 65+ individual with an advanced degree and employed, I prioritize comfort and safety. Cambridge, MA has good public transit, but as a senior, I might prefer private auto for reliability. However, if the distance is short, walking or biking could be feasible. Since I have two vehicles, using a private auto is likely. The duration for private auto is typically 10-20 minutes for short trips.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
4,813905790027797463,20,male,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,19,walking,10-20,18-24,Under $10k,walking,10-20,"[""As a young adult with limited income and no employment, I prioritize cost-effective and accessible transportation options. Walking is the most affordable and feasible choice given my low income and lack of a vehicle. Public transit is a viable alternative if walking is not feasible, but walking is more likely due to the short distances typical in urban areas. Biking is possible if the distance is not too far, but the primary mode will depend on the specific context. Private auto and auto passenger are less likely due to financial constraints and lack of employment. The duration is expected to be short, as walking or biking for short distances is efficient.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
5,9740434140416298652,24,male,employed,6,265299,zero,naics54,bachelors_degree,home,18,walking,10-20,18-24,$200k-$300k,public_transit,20-30,"[""As a young, employed individual with a bachelor's degree in Cambridge, MA, I prioritize convenience and efficiency. Public transit is reliable and accessible, making it a common choice. Walking is feasible for short distances, but with a household size of 6, car ownership is expected, though the user specified zero vehicles. Biking is less common due to weather and infrastructure, while private auto is not an option. The duration varies based on traffic and mode selected.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
6,5906565684705481770,26,male,employed,2,115348,one,naics54,bachelors_degree,school,8,public_transit,20-30,25-34,$100k-$150k,public_transit,10-20,"[""As a 25-34 year old with a bachelor's degree and an income of $100k-$150k, I am likely to have access to a car and prefer driving or taking public transit for school-related trips. The presence of multiple 'auto_passenger' and 'private_auto' options suggests that driving is a common choice. However, walking and biking are also viable for short distances. Given that the target distance is unknown, I'll consider the most common modes and durations. The weight for driving (private_auto) is higher due to the availability of a car and the typical use of private vehicles for school trips. Public transit (public_transit) is also a reasonable choice, especially if the destination is near a transit stop. Walking is plausible for shorter distances, and biking could be an option for moderate distances. The weight for walking is moderate, and biking has a lower weight due to potential weather or safety concerns. The duration for driving is likely to be 10-20 minutes, while walking and biking may take longer, and public transit could vary between 10-20 or 20-3,0 minutes depending on the route.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
7,3852483032540214199,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,11,auto_passenger,0-10,18-24,Under $10k,walking,10-20,"[""As someone in the 18-24 age group with some college education, I'm likely to prefer walking or biking for short trips due to the walkable nature of Cambridge, MA. However, since my income is low and I'm not in the labor force, I might rely more on public transit for longer distances. The available vehicles being unknown means I might not have access to a car, making walking, biking, or public transit more viable options. Given the context of a normal weekday, I would prioritize modes that are reliable and cost-effective.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
8,14922557228822709708,36,male,employed,3,721688,zero,naics3399,advanced_degree,work,14,walking,10-20,35-44,$300k+,public_transit,10-20,"[""As a highly educated, employed individual in Cambridge, MA with a household size of 3 and no available vehicles, I would likely prioritize efficient and reliable transportation methods. Since I have no personal vehicle, I would rely on public transit or biking for short distances. However, given the typical weather and traffic conditions in Cambridge, I might prefer public transit for longer distances and biking for shorter trips. Walking is also a viable option for nearby destinations, though it may be less preferred due to the potential for inclement weather. The available duration choices suggest that most trips would take between 10-20 minutes, which aligns with the typical travel time for public transit or biking in a city with good infrastructure.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
9,4845438217054045935,44,male,employed,5,86648,one,naics61,bachelors_degree,shop,15,auto_passenger,0-10,35-44,$50k-$100k,private_auto,0-10,"[""As a 35-44 year old with a bachelor's degree and a household of 5, I have a car but it's not always practical for short trips. Since I'm employed, I'm likely to use public transit for errands if it's efficient. Walking is an option for nearby shops, but I prefer the reliability of a car or transit. Cultural norms in Cambridge, MA favor public transit and walking, especially for shorter distances. The time of day (3 PM) might mean I'm looking for a quick way to get to a store before heading home.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
