,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,14941376504966255761,16,male,not_in_labor_force,4,140343,two,not_working,k_12,eat,14,walking,10-20,Under 18,$100k-$150k,auto_passenger,10-20,"[""As a teenager with two vehicles available, I would prefer private auto for convenience. My family size suggests I might not need to walk or bike. Public transit is less likely due to the availability of cars and the fact that I'm not in the labor force. The duration for private auto is likely to be 10-20 minutes, which is consistent with a short trip to eat.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.6}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
1,741506727884677094,60,male,employed,1,37850,one,naics445110,bachelors_degree,eat,14,walking,50-60,55-64,$10k-$50k,walking,0-10,"[""As a 55-64 year old employed individual with a bachelor's degree and a household size of 1 in Cambridge, MA, I prioritize convenience and reliability for my daily activities. Given my age and employment status, I am more likely to prefer private auto for longer distances due to comfort and time efficiency. However, for shorter trips, walking or biking could be feasible. The duration choices suggest a mix of short and moderate times, so I will balance between quick trips and more extended commutes based on the target distance.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]"
2,5066275312758875498,17,male,employed,4,776722,three_plus,naics31_33,k_12,work,12,biking,0-10,Under 18,$300k+,private_auto,0-10,"[""As a young, employed individual with a high income and three or more vehicles available, I am likely to prioritize convenience and efficiency for my commute. Cambridge, MA is a city with good public transit options, but the presence of multiple cars might indicate a preference for private auto use. However, since I am under 18, I might still be relying on my parents' vehicle for work-related trips, which could influence my mode choice. The short duration options (like 0-10 minutes) might be more appealing if the destination is nearby, but if the distance is longer, I might opt for a longer duration. Given the context of a normal weekday, I would value reliability and minimizing travel time.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
3,11838005633882312749,69,female,employed,2,92736,two,naics621492,advanced_degree,home,22,auto_passenger,10-20,65+,$50k-$100k,private_auto,0-10,"[""As a 65+ individual with an advanced degree and employed, I likely prioritize comfort and reliability. Cambridge, MA has good bike infrastructure, but safety concerns might limit biking for older adults. Walking is feasible for short distances but may not be preferred for longer trips. Private auto offers convenience and control, especially with two vehicles available. Auto passenger could be an option if someone else is driving, but it's less common for employed individuals. The duration choices suggest shorter trips, so I'll focus on modes with shorter travel times.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.35}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
4,813905790027797463,20,male,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,19,walking,10-20,18-24,Under $10k,walking,10-20,"[""As an 18-24 year old with some college education and a low income, I'm more likely to rely on walking or biking for short trips. Since I'm not in the labor force and live alone, I might not have a car, making walking or biking the primary options. The reference data shows walking is the most common mode, so I'll prioritize that. However, if the trip is longer, I might consider biking. The duration choices suggest shorter trips, so I'll focus on the 0-10 or 10-20 minute ranges. The cultural context in Cambridge, MA, which is a walkable city, supports walking as the preferred mode. I'll assign higher weights to walking and biking with shorter durations.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
5,9740434140416298652,24,male,employed,6,265299,zero,naics54,bachelors_degree,home,18,walking,10-20,18-24,$200k-$300k,walking,10-20,"[""I am in a household of 6, so walking is the only feasible option without a vehicle."", ""Walking is the most common mode for short distances in Cambridge, MA."", ""Given my age and education level, I am likely to walk for short trips."", ""Since I have no available vehicles, walking is the only option.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.95}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
6,5906565684705481770,26,male,employed,2,115348,one,naics54,bachelors_degree,school,8,public_transit,20-30,25-34,$100k-$150k,walking,0-10,"[""As a 25-34 year old with a bachelor's degree and an income between $100k-$150k, I am likely to have a car and prefer driving for convenience. However, Cambridge,MA has good bike infrastructure and public transit options, so I might consider biking or public transit for shorter trips. Walking is viable for nearby destinations. The target distance is unknown, but I would prioritize time efficiency and comfort.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
7,3852483032540214199,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,11,auto_passenger,0-10,18-24,Under $10k,walking,10-20,"[""As someone under $10k with limited vehicle access, walking is the most feasible option for short trips."", ""Cambridge has good walkability, so walking is common for nearby destinations."", ""Biking is possible but less likely due to income constraints and weather conditions."", ""Public transit isn't listed, so private auto or carpooling might be considered if needed.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-3, "", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]"
8,14922557228822709708,36,male,employed,3,721688,zero,naics3399,advanced_degree,work,14,walking,10-20,35-44,$300k+,auto_passenger,10-20,"[""As a high-income professional with an advanced degree, I prioritize efficiency and comfort in transportation. Cambridge, MA has good walking infrastructure, but with a household size of 3 and no available vehicles, I might rely on carpooling or public transit. However, the available modes listed don't include public transit, so I'll focus on the given options. The presence of multiple 'walking' and 'auto_passenger' options suggests a preference for shared mobility. Given the time of day (14:00) and a normal weekday, I'd lean towards carpooling for efficiency, but walking is also viable for shorter distances. The duration choices vary, but I'd prefer a shorter trip if possible.""]","[{""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}]"
9,4845438217054045935,44,male,employed,5,86648,one,naics61,bachelors_degree,shop,15,auto_passenger,0-10,35-44,$50k-$100k,biking,0-10,"[""As a 35-44 year old employed individual with a bachelor's degree and a household size of 5 in Cambridge, MA, I would prioritize convenience and efficiency for shopping trips. With one vehicle available, private auto is a reliable option for moderate distances. Walking is feasible for short trips, especially in a walkable city like Cambridge. Public transit is an option for shorter distances, but may be less convenient for shopping. Biking is possible for short distances, but may not be the most practical for a family of five. Auto passenger is less likely as I would prefer to drive myself. The duration choices reflect typical travel times for these modes.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}]"
