,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,14941376504966255761,16,male,not_in_labor_force,4,140343,two,not_working,k_12,eat,14,walking,10-20,Under 18,$100k-$150k,walking,10-20,"[""As a teenager with two cars available at home, I would likely choose to ride with a family member in a car since we have two vehicles. Since I am under 18 and not employed, I would probably stay at home or go to a nearby fast food restaurant. The duration is likely to be short, around 10-20 minutes. Because of the short distance, walking is also possible, but it's more likely that I would ride with a family member. The public transit option is less likely because it's an older city and the teenager might prefer a car ride. Biking might be considered, but since it's a weekday afternoon, there may be less inclination to bike. The duration for public transit might be longer, so the 0-10 minutes might be too short for that. The 10-20 minutes duration seems more realistic for a car ride or walking.""]","[{""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
1,741506727884677094,60,male,employed,1,37850,one,naics445110,bachelors_degree,eat,14,walking,50-60,55-64,$10k-$50k,walking,:[{,"[""As a 55-64 year old employed individual with a bachelor's degree and a household size of 1 in Cambridge, MA, I am likely to prioritize convenience and reliability. Since I have a car available, driving is a primary option. However, given the moderate distance and the need to eat, walking or biking might be considered for shorter trips. Public transit is also an option, though less preferred for a single person. The duration for driving is likely to be moderate, around 10-20 minutes. For walking and biking, shorter durations are more plausible. Public transit might take longer, so a 20-30 minute duration is reasonable.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": "":[{"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": "":[{"", ""weight"": 0.2}, {""primary_mode"": ""public_transit"", ""duration_minutes"": "":[{"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": "":[{"", ""weight"": 0.1}]"
2,5066275312758875498,17,male,employed,4,776722,three_plus,naics31_33,k_12,work,12,biking,0-10,Under 18,$300k+,private_auto,10-20,"[""As a young, employed individual with a high income and three or more vehicles available, I am likely to have the means and flexibility to choose between different transportation modes. However, since the target distance is unknown, I need to consider the most common modes for a normal workday in Cambridge, MA. Given the availability of public transit and the presence of bike lanes, I might consider biking or public transit as alternatives to driving. However, with a household size of 4 and possibly a carpooling situation, driving might still be a common choice. The duration for driving could be in the range of 10-20 minutes, while public transit might take longer due to potential waiting times and transfers. Biking could be faster if the distance is short. Since the weight should sum to 1, I'll distribute the weights based on the likelihood of each mode given the context.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
3,11838005633882312749,69,female,employed,2,92736,two,naics621492,advanced_degree,home,22,auto_passenger,10-20,65+,$50k-$100k,auto_passenger,10-20,"[""As an employed individual in Cambridge, MA with an advanced degree and two vehicles available, I prioritize convenience and efficiency. Given the late hour (22:00), driving is the most reliable option for returning home."", ""Walking or biking is unlikely due to the late hour and potential safety concerns, especially for someone in the 65+ age group."", ""Private auto offers greater control over timing, while auto_passenger may involve waiting for a ride or less flexibility."", ""The most efficient option is driving alone, which balances speed, safety, and personal comfort.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.45}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-4, "", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}]"
4,813905790027797463,20,male,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,19,walking,10-20,18-24,Under $10k,biking,0-10,"[""As someone in the 18-24 age group with limited income and not in the labor force, I'm more likely to prioritize cost-effective and accessible transportation options. Walking is a common choice for short distances in Cambridge, MA, which has a walkable urban environment. Biking is also a viable option given the city's bike-friendly infrastructure. Private auto use is less likely due to financial constraints and limited vehicle availability. Public transit is not listed as an option, but it's worth noting that it's a common choice for similar profiles. The duration choices reflect typical travel times for these modes in an urban setting.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
5,9740434140416298652,24,male,employed,6,265299,zero,naics54,bachelors_degree,home,18,walking,10-20,18-24,$200k-$300k,walking,10-20,"[""I have a Bachelor's degree and am employed, so I likely have a car but it's not available. Since I'm in a large household, walking might be an option if the distance is short. However, the target distance is unknown, so I might consider biking if it's a reasonable distance. With an income of $200k-$300k, I might prefer private auto if it's available, but it's not. I have to consider the time of day and the fact that it's a weekday. The reference data shows walking and private auto are popular, but since I don't have a car, walking or biking is the only option."", ""Since I'm in a large household, I might have to share transportation, but since I don't have a car, that's not an option. The reference data shows walking and biking are common, but the duration for walking is 10-20 minutes, which might be acceptable if the distance is not too far. If the distance is longer, biking might be more efficient. However, the exact distance is unknown, so I'll have to consider both options."", ""Given my age group and education level, I might prefer a more active mode like walking or biking. The reference data shows that walking has a higher weight, but since I'm in a large household, I might have to consider the time it takes. The duration for walking is 10-20 minutes, which is acceptable if the distance is not too far. Biking might take less time but depends on the distance."", ""Since I don't have a car, I have to rely on walking or biking. The reference data shows that walking and biking are common, but the exact duration depends on the distance. The weight for walking is higher, but if the distance is longer, biking might be more efficient. I'll have to consider both options based on the distance, which is unknown.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
6,5906565684705481770,26,male,employed,2,115348,one,naics54,bachelors_degree,school,8,public_transit,20-30,25-34,$100k-$150k,walking,0-10,"[""As a 25-34 year old with a bachelor's degree and an income between $100k-$150k, I would likely prioritize time efficiency and convenience. Cambridge, MA is a walkable city with many amenities within a short walk, but given the target is school, it's possible the distance might be greater. With one vehicle available, driving is an option, but I would consider public transit as a viable alternative. Since the target is school, the distance might be moderate, making walking or biking less likely for a longer trip. I would prefer a mode that balances time and cost efficiency.""]","[{""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
7,3852483032540214199,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,11,auto_passenger,0-10,18-24,Under $10k,biking,10-20,"[""As an 18-24 year old with some college education and a low income, I'm more likely to prioritize cost-effective and accessible transportation. Cambridge, MA has a strong public transit system and bike infrastructure, making walking and biking viable options. However, since I'm not in the labor force and have no known vehicles, I may rely on public transit or ride-sharing."", ""Given my age and education level, I'm more open to using newer transportation modes like biking or ride-sharing, especially if they're convenient and affordable."", ""The availability of private auto and auto passenger options suggests there's a chance I might use these if they're more convenient or if I have access to a vehicle through friends or ride-sharing."", ""Since I'm not working, my travel patterns might be more flexible, allowing for longer durations if needed, but I'd still prefer the fastest and most cost-effective options.""]","[{""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}]"
8,14922557228822709708,36,male,employed,3,721688,zero,naics3399,advanced_degree,work,14,walking,10-20,35-44,$300k+,walking,0-10,"[""As a highly educated, employed individual in Cambridge, MA with a household size of 3 and no available vehicles, I would prioritize efficient and reliable transportation to work. Given the urban setting, walking is feasible for short distances, but for longer distances, I would likely use public transit or carpooling. However, since the options provided don't include public transit, the next best choices are auto_passenger (carpooling) or private_auto if available. The duration for auto_passenger is typically 10-20 minutes, which aligns with typical urban commute times. Walking is also a possibility for shorter distances, but the duration of 0-10 minutes suggests a very short trip which may not be typical for a work commute. Biking could be an option for moderate distances, but the duration of 0-10 minutes seems too short for a work commute. The choice_weights should reflect the likelihood of each mode based on the profile and context.""]","[{""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.0}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.0}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.0}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.0}]"
9,4845438217054045935,44,male,employed,5,86648,one,naics61,bachelors_degree,shop,15,auto_passenger,0-10,35-44,$50k-$100k,private_auto,10-20,"[""I have a car and prefer driving, but since I'm in a household of 5, I may consider public transit for shared trips. Shopping might require a short trip, so walking or biking could be feasible if the distance is short. However, with a family of 5, public transit might be more practical for longer distances. I have a bachelor's degree, so I'm more likely to use public transit or walk than bike."", ""Cambridge, MA has good public transit options, so I might use that for shopping trips. However, since I'm employed, I might prefer driving if the destination is not too far. Walking is feasible for short distances, but with a family, I might prefer a car or public transit."", ""With a household size of 5, it's more efficient to use a car or public transit for shopping trips. Walking and biking might be less practical for a family of 5. I'm more likely to choose public transit for longer distances and driving for shorter trips."", ""I have a car, so driving is an option. However, with a family of 5, I might prefer public transit for shared trips. The distance to the shop is unknown, but I'm more likely to use a car for shorter distances and public transit for longer ones.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-3,0"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
