,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,14941376504966255761,16,male,not_in_labor_force,4,140343,two,not_working,k_12,eat,14,walking,10-20,Under 18,$100k-$150k,public_transit,20-30,"[""As a young person with a household of 4, walking is a common mode for short trips, especially for errands or leisure. Since I have two vehicles available, private auto is also a possibility for longer distances. Public transit is a viable option, but the duration might be longer due to wait times and transfers. Biking is less likely due to the age group and potential safety concerns. Auto passenger could be an option if someone else is driving, but the duration is shorter, which might not be ideal for an eating desire.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
1,741506727884677094,60,male,employed,1,37850,one,naics445110,bachelors_degree,eat,14,walking,50-60,55-64,$10k-$50k,private_auto,10-20,"[""As a 55-64 year old, employed individual with a bachelor's degree in Cambridge, MA, I am likely to prioritize convenience and reliability in my transportation choices. Public transit is a viable option, but the availability of reliable and frequent service would influence my preference."", ""Given my household size of 1 and the presence of a single vehicle, private auto ownership provides flexibility for travel, especially if the destination is not within walking distance."", ""Walking is a common mode for short distances in a walkable city like Cambridge, MA, but my age and employment status may make me less inclined to walk longer distances."", ""Biking is possible in Cambridge, but the weather, safety, and my personal comfort with cycling may influence this choice. However, I may not prioritize biking as highly as other modes.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]"
2,5066275312758875498,17,male,employed,4,776722,three_plus,naics31_33,k_12,work,12,biking,0-10,Under 18,$300k+,private_auto,10-20,"[""As a young, high-income, employed person with a household size of 4 and access to multiple vehicles, I am likely to have a car for work commutes. However, the presence of biking and walking options in Cambridge, MA suggests that the city has a good infrastructure for alternative modes of transportation."", ""Being employed, I would prioritize a mode that allows me to arrive at work on time. The duration choices range from 0-10 to 10-20 minutes, suggesting that most trips are relatively short. I would prefer a mode that minimizes travel time and is reliable."", ""Cambridge, MA has a strong bike culture, and with three or more vehicles available in my household, I may still prefer driving for work. However, if the trip is short, walking or biking could be viable options."", ""The weight distribution should reflect the likelihood of different modes and durations based on the profile. Since I have access to multiple vehicles, driving is a strong possibility, but the presence of biking and walking options suggests that these are also viable choices for short trips.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
3,11838005633882312749,69,female,employed,2,92736,two,naics621492,advanced_degree,home,22,auto_passenger,10-20,65+,$50k-$100k,public_transit,10-20,"[""As a 65+ individual with an advanced degree and employed, I would prioritize comfort and reliability. Since I have two vehicles available, private auto offers the most control over my schedule. However, I might consider public transit for shorter trips to avoid parking issues. Walking is feasible only for very short distances, and on-demand auto could be an option if I need a ride without a car."", ""Given the time of 22:00, public transit might have limited late-night service, which could make it less reliable. Private auto gives me the flexibility to travel at my convenience, especially since I'm employed and might have irregular hours."", ""With an advanced degree, I'm more likely to value efficiency and comfort. If the distance is short, walking could be an option, but for longer distances, private auto remains the most practical choice. The presence of two vehicles increases the likelihood of using a private auto."", ""Considering the cultural context of Cambridge,MA, there is a strong public transit system, but as an older individual, I might prefer the privacy and comfort of a private vehicle. The availability of two cars also makes private auto a more appealing option for late-night travel.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
4,813905790027797463,20,male,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,19,walking,10-20,18-24,Under $10k,walking,0-10,"[""As a young adult with a low income and no employment, I prioritize cost-effective and accessible transportation. Walking is the most common and affordable option, especially for short distances. Since I'm not working, there's no need for a car, making walking or biking viable. However, biking might be less preferred due to safety concerns or weather conditions. The reference data shows walking is heavily weighted, so I'll follow that pattern.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
5,9740434140416298652,24,male,employed,6,265299,zero,naics54,bachelors_degree,home,18,walking,10-20,18-24,$200k-$300k,biking,0-10,"[""As a young, employed individual with a bachelor's degree in Cambridge,MA, I prioritize convenience and efficiency. Public transit is reliable and accessible, especially with my household size of 6, making shared rides practical. Walking is feasible for short distances but less so for longer trips. Biking is an option but may not be suitable for all weather conditions. Private auto is not available, so relying on public transit and auto passenger is logical. Duration considerations align with typical commutes, favoring shorter trips.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]"
6,5906565684705481770,26,male,employed,2,115348,one,naics54,bachelors_degree,school,8,public_transit,20-30,25-34,$100k-$150k,public_transit,10-20,"[""As a 25-34 year old with a bachelor's degree and an income between $100k-$150k, I am likely to prioritize convenience and efficiency in my commute. In Cambridge, MA, which has a strong public transit system and bike-friendly infrastructure, public transit and biking are viable options."", ""Since the target distance is unknown, I consider the most common and reliable modes. Public transit is often preferred for its reliability and cost-effectiveness, especially for a weekday commute."", ""Walking is a feasible option if the distance is short, but given the household size and the need to commute to school, it's less likely to be the primary mode unless the distance is very close."", ""Private auto is an option, but with one vehicle and a household of two, it's more likely that the vehicle is used for multiple purposes, so the preference might lean toward public transit or biking.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
7,3852483032540214199,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,11,auto_passenger,0-10,18-24,Under $10k,walking,10-20,"[""Given the age group of 18-24 and low income, walking is a common and affordable option, especially for short distances."", ""The individual is not in the labor force, so there's no urgency to travel quickly, making walking or biking feasible."", ""Cambridge, MA has a bike-friendly culture, which increases the likelihood of choosing biking for short trips."", ""Private auto and auto passenger options are less likely due to cost and availability concerns for someone with a low income.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
8,14922557228822709708,36,male,employed,3,721688,zero,naics3399,advanced_degree,work,14,walking,10-20,35-44,$300k+,public_transit,30-40,"[""As a highly educated individual with a high income, I prioritize convenience and time efficiency. Cambridge, MA has good public transit options, but with a household size of 3 and no available vehicles, car ownership is less feasible. Walking is a common mode for short distances, but with a 30-minute duration, it might be too long. Biking is an option for moderate distances, but safety and weather could affect this. On-demand auto services offer flexibility but are more expensive."", ""Public transit is reliable in Cambridge, but the duration of 10-20 minutes seems short for a work commute. The 30-40 minute duration might be more realistic for longer distances. Walking for 0-10 minutes is too short, while 20-30 minutes could be acceptable for shorter trips. The presence of multiple walking options suggests it's a common choice for nearby destinations."", ""With no available vehicles, relying on public transit or on-demand services makes sense. The higher weight for walking might indicate that the person is close to work or has a short commute. The 10-20 minute duration for public transit could be more realistic for a work commute. The presence of multiple walking options suggests it's a common choice for nearby destinations."", ""The 50-60 minute duration for public transit is likely for longer distances, but with a high income, on-demand auto might be preferred for time. The 0-10 minute walking duration is too short, so the 20-30 minute walking duration is more realistic. The higher weight for walking might indicate that the person is close to work or has a short commute.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.2}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}]"
9,4845438217054045935,44,male,employed,5,86648,one,naics61,bachelors_degree,shop,15,auto_passenger,0-10,35-44,$50k-$100k,private_auto,0-10,"[""As a 35-44 year old employed individual with a bachelor's degree and a household size of 5, I am likely to prioritize convenience and efficiency in my transportation choices. With an income range of $50k-$100k, I may be more inclined to use private auto for longer distances but might opt for public transit for shorter trips to save costs. Living in Cambridge, MA, which has a well-developed public transit system, I might consider public transit for shorter distances. However, since I have one available vehicle, I might use it for longer trips. The target distance is unknown, but I might prioritize walking for very short distances or biking for moderate distances. Considering the cultural context of Cambridge, which values sustainability and walkability, I might prefer walking or biking for short trips but use private auto or public transit for longer distances.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""50-60"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
