,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,14941376504966255761,16,male,not_in_labor_force,4,140343,two,not_working,k_12,eat,14,walking,10-20,Under 18,$100k-$150k,private_auto,0-10,"[""Given my age (under 18) and not being in the labor force, I'm likely dependent on others for transportation."", ""My household size of 4 suggests a family environment where shared rides are common."", ""The desire to 'eat' implies a trip to somewhere to get food, perhaps a restaurant or grocery store."", ""Cambridge, MA is known for walkability and good public transit, but with two vehicles available, a shared ride in a car is plausible.""]","[{""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
1,741506727884677094,60,male,employed,1,37850,one,naics445110,bachelors_degree,eat,14,walking,50-60,55-64,$10k-$50k,private_auto,10-20,"[""It's 2 PM and I'm hungry, so I need to quickly find food."", ""Given my age group (55-64) and income level, I'm likely to prioritize affordability and convenience."", ""Cambridge, MA has good public transit and walking infrastructure, making those viable options."", ""Because I have one available vehicle, I can also consider driving, but I'll try to minimize driving if possible.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
2,5066275312758875498,17,male,employed,4,776722,three_plus,naics31_33,k_12,work,12,biking,0-10,Under 18,$300k+,auto_passenger,10-20,"[""Given my age group (Under 18), it's likely I'm either going to school or being driven to/from school/activities."", ""With a high income ($300k+), my family likely prioritizes convenience and comfort."", ""Having multiple vehicles available means auto options are very feasible."", ""Cambridge, MA is known for its walkability and public transit, but with a high income and multiple vehicles, auto transport is more probable.""]","[{""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]"
3,11838005633882312749,69,female,employed,2,92736,two,naics621492,advanced_degree,home,22,auto_passenger,10-20,65+,$50k-$100k,private_auto,10-20,"[""It's late (22:00) on a normal weekday, so I'm likely heading home."", ""Given my age (65+), I value comfort and safety over speed."", ""With two available vehicles and a household of two, sharing a ride is a reasonable option."", ""Cambridge, MA is known for its walkability and public transit, but at this hour, convenience and minimizing effort are priorities.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
4,813905790027797463,20,male,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,19,walking,10-20,18-24,Under $10k,walking,30-40,"[""It's evening (19:00) and I desire to go home."", ""I'm a young adult (18-24) with limited income and not employed, so cost is a significant factor."", ""Cambridge, MA has good public transit and walking infrastructure, making those options attractive."", ""Given my profile and the context, walking or public transit seem most realistic and affordable.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
5,9740434140416298652,24,male,employed,6,265299,zero,naics54,bachelors_degree,home,18,walking,10-20,18-24,$200k-$300k,walking,30-40,"[""Given my income and education level, I'm likely to prioritize convenience and speed."", ""Having a large household size (6 people) and no available vehicles significantly limits my options."", ""Cambridge, MA is known for its robust public transit and walkability, so those are strong contenders."", ""It's a normal weekday evening, so I'm likely heading home after work.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.5}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
6,5906565684705481770,26,male,employed,2,115348,one,naics54,bachelors_degree,school,8,public_transit,20-30,25-34,$100k-$150k,walking,30-40,"[""My profile indicates a young, employed professional with a decent income and a bachelor's degree, living in a two-person household with one vehicle."", ""Cambridge, MA is known for its walkability, biking infrastructure, and robust public transportation, so those are attractive options."", ""Given the 'school' desire, I'm likely heading to drop off a child or attend a class myself."", ""With one vehicle available, driving (either as a passenger or solo) is feasible, but I'm inclined to consider more sustainable options if the distance isn't excessive.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}]"
7,3852483032540214199,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,11,auto_passenger,0-10,18-24,Under $10k,walking,30-40,"[""I'm 18-24, with a low income and not employed, so cost is a significant factor."", ""Living in Cambridge, MA, there's a strong culture of walking, biking, and public transit."", ""Without a vehicle, auto options are limited to passenger or ride-sharing which I would likely avoid due to cost."", ""Given the 'Today is a normal weekday' memory, I'm likely heading home after some activity.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
8,14922557228822709708,36,male,employed,3,721688,zero,naics3399,advanced_degree,work,14,walking,10-20,35-44,$300k+,public_transit,20-30,"[""Given my high income and advanced degree, I prioritize convenience and time efficiency."", ""With a household of three and no available vehicles, relying on alternatives is necessary."", ""Cambridge, MA has excellent public transit and a culture that supports it, especially for professionals."", ""My desire is to get to work, so minimizing travel time while maximizing reliability is key.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.55}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
9,4845438217054045935,44,male,employed,5,86648,one,naics61,bachelors_degree,shop,15,auto_passenger,0-10,35-44,$50k-$100k,private_auto,10-20,"[""Given my profile (35-44, $50k-$100k income, employed, household of 5, one vehicle), shopping is a frequent need."", ""With a large household and only one vehicle, carpooling or using public transit are practical considerations to manage costs and reduce vehicle usage."", ""Cambridge, MA has good public transit options, and a culture of walking and biking, but with a family of 5, convenience is key for shopping."", ""Given the available options, auto_passenger or private_auto are the most reasonable choices, with walking being less practical for shopping with a family.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
10,14696692661183092916,18,female,not_in_labor_force,4,19609,zero,not_working,k_12,work,15,walking,0-10,18-24,$10k-$50k,public_transit,20-30,"[""I have no vehicle and am not employed, so private auto options are impossible."", ""Given my age group and lack of income, public transit is the most likely option if I need to go somewhere for work-related activities."", ""Walking is a possibility for shorter distances, but the target distance is unknown."", ""Biking is also a potential option, but without a bike it's not feasible.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.6}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
11,17243595094662745330,26,male,employed,2,260577,one,naics54,bachelors_degree,home,15,private_auto,0-10,25-34,$200k-$300k,public_transit,20-30,"[""It's a normal weekday and the current desire is to go home."", ""Given my income and education level, I likely value convenience and time efficiency."", ""Cambridge, MA has good public transit and biking infrastructure, but I only have one vehicle."", ""Considering the desire to go home after work, I'm likely to use my available vehicle or public transit for a convenient and relatively fast trip.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
12,7972501111113019649,42,female,employed,1,66795,zero,naics31_33,some_college,shop,15,walking,0-10,35-44,$50k-$100k,walking,0-10,"[""I'm in the 35-44 age group, employed, and have no car. Cambridge is very walkable and has good public transit."", ""Given my desire to shop and the time being 3:00 PM on a weekday, a quick shopping trip is likely."", ""Walking is a very reasonable option, especially if the shops are relatively close."", ""Public transit is also a good option as it's likely convenient in Cambridge, but walking is probably faster for a short shopping trip.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.6}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
13,14763949716867062788,53,male,employed,2,257831,zero,naics61,advanced_degree,eat,11,walking,0-10,45-54,$200k-$300k,walking,0-10,"[""I am employed, have a high income, and live in Cambridge, MA, a city known for its robust public transportation and walkability."", ""Given my desire to eat, I likely want to go to a restaurant or cafe."", ""Without a vehicle, public transit or walking are the most realistic options. Walking is preferable for shorter distances, while public transit is better for longer trips."", ""My high income makes me less sensitive to the cost of public transit, but I still value convenience and time efficiency.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.5}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
14,5104314712835088722,21,male,employed,1,0,unknown_num_vehicles,naics54,some_college,work,6,walking,20-30,18-24,Under $10k,public_transit,20-30,"[""Given my age group (18-24) and income level (under $10k), cost is a significant factor."", ""Being employed suggests a need for reliable transportation to work."", ""Cambridge, MA is known for its walkability and public transit options, which are attractive given my profile."", ""Without knowing the distance to work, I'm leaning towards modes that offer flexibility and affordability.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
15,12065962631916466091,67,female,employed,1,39789,zero,naics522130,high_school,eat,20,other_travel_mode,0-10,65+,$10k-$50k,public_transit,20-30,"[""I am 65+ with limited income and no vehicle. This significantly restricts my options."", ""My desire is to eat, suggesting a need to reach a restaurant or grocery store."", ""Given my age and lack of a vehicle, walking or public transit are the most realistic options."", ""Cambridge, MA is known for its walkability and robust public transit, so these are favored.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.6}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
16,12751914771888147384,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,high_school,other_activity_type,11,walking,0-10,18-24,Under $10k,walking,0-10,"[""I'm 18-24, unemployed, and have a limited income, so cost is a major factor."", ""Walking is a very viable option given my circumstances and the likely short distances in Cambridge."", ""Public transit is possible if the destination is further, but I need to consider the cost."", ""Auto options are unlikely due to lack of vehicle and financial constraints. I don't have a driver's license either.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.6}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
