,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,1008394524663602144,41,male,employed,5,165219,two,naics722511,k_12,work,8,public_transit,40-50,35-44,$150k-$200k,biking,0-10,"[""As a 35-44 year old with a household size of 5 and two available vehicles, I would likely prefer driving my own car for work as it offers convenience and flexibility for a family with multiple members. Given the income range of $150k-$200k, owning a car is more feasible than relying on public transportation. However, given the proximity to work and potential traffic, I might consider biking or walking if the distance is short. The weight for driving will be higher due to the household size and vehicle availability, while walking and biking will have lower weights."", ""In Cambridge,MA, there is a moderate level of bike infrastructure and walking paths, but the presence of two cars in the household suggests a preference for personal vehicles. The weight for private auto will be the highest, followed by auto_passenger, as carpooling is common. Walking and biking will have lower weights due to the household size and availability of personal vehicles."", ""The duration for driving will be longer due to possible traffic, so the 20-30 minute duration is more likely. Walking and biking will have shorter durations, but their weights will be lower. The weight for private auto will be significantly higher than the others, reflecting the likelihood of driving in this demographic."", ""Considering the cultural context of Cambridge,MA, which has a mix of urban and suburban areas, there is a balance between car usage and alternative transportation. However, with a household size of 5, the need for personal vehicles is higher. The weight for private auto will be the highest, followed by auto_passenger, while walking and biking will have lower weights. The duration for private auto is expected to be longer due to traffic, so the 20-30 minute duration is more likely.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.45}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
1,17686081048863139877,57,female,employed,2,195539,one,naics5615,bachelors_degree,eat,11,auto_passenger,10-20,55-64,$150k-$200k,walking,10-20,"[""As a 55-64 year old employed individual with a bachelor's degree and an income of $150k-$200k, I prefer convenient and reliable transportation options that fit into a busy schedule."", ""In Cambridge,MA, the availability of public transit and bike lanes makes walking and biking viable options, but the presence of car ownership and suburban sprawl suggests private auto use is common for longer distances."", ""Since the target distance is unknown, I'll consider the most likely scenarios: short trips where walking or public transit is feasible, and longer trips where driving is more practical."", ""Given the cultural context of Cambridge,MA, which values walkability and environmental awareness, I'm more inclined toward sustainable modes like walking, biking, or public transit for shorter distances, and private auto for longer trips.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
2,12380665474442907958,78,male,not_in_labor_force,2,95313,two,not_working,bachelors_degree,eat,16,private_auto,10-20,65+,$50k-$100k,private_auto,0-10,"[""As a 65+ individual with a bachelor's degree and a household size of 2, I am likely to have a car available for transportation. However, since I am not in the labor force, I may not need to commute daily, but I might still prefer driving for convenience and comfort. Walking is also a possibility if the distance is short, but I might prefer a private auto for longer distances. Public transit could be an option if I am familiar with it, but I might prefer the comfort of my own vehicle. The cultural context of Cambridge, MA may influence my choice, as it is a more suburban area with better road infrastructure compared to San Francisco, which has a more dense and walkable environment. Given the time of day (16:00), I might prefer a private auto for a more flexible and comfortable trip to eat.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
3,15124399126571121470,39,female,employed,2,41442,one,naics81,some_college,shop,9,walking,0-10,35-44,$10k-$50k,private_auto,10-20,"[""As a 35-44 year old with some college education and an employed status, I would likely prefer driving my own car for shopping trips. Cambridge, MA has a good road network and car ownership is common in this demographic. Walking is an option for short distances but the duration varies. Biking is less likely due to weather and infrastructure considerations. Auto passenger might be considered if I have a ride with someone else, but private auto is more likely as I have my own vehicle. I need to consider the target distance, but since it's unknown, I'll assume a moderate distance that makes driving the most efficient choice.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-10"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
4,18162470860445288605,8,female,under_16,5,196713,two,not_working,k_12,home,15,auto_passenger,0-10,Under 18,$150k-$200k,biking,0-10,"[""As an under 18 individual with no employment, the primary mode of transportation is likely to be walking or biking, given the household size and availability of two vehicles. However, the presence of two vehicles might suggest some car access for family members, but the individual might still prefer active transportation for short distances."", ""The weight for walking is higher due to the proximity of destinations and the cultural emphasis on walking in Cambridge, MA, which is more walkable than San Francisco, CA. However, the individual's age and lack of employment might make them more inclined to walk rather than bike."", ""Auto passenger is a viable option if the household has a car, but the individual might prefer walking for shorter trips. The weight for auto passenger is moderate, considering the availability of vehicles and the individual's age."", ""The duration for walking is likely to be shorter, as the individual may not have the stamina for longer walks, while biking might take a bit longer. The weight for shorter durations is higher, reflecting the individual's age and physical capabilities.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-10"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
5,15220852951598950010,58,female,not_in_labor_force,2,320964,two,not_working,advanced_degree,shop,10,private_auto,10-20,55-64,$300k+,private_auto,0-10,"[""As a 55-64 year old with an advanced degree and $300k+ income, I prioritize convenience and comfort in transportation. Cambridge, MA has good bike infrastructure, but my age and income suggest a preference for private auto over biking."", ""With two vehicles available, private auto is the most flexible option for shopping trips. Public transit might be considered if the destination is near a transit stop, but my profile indicates a higher likelihood of using personal vehicles."", ""Walking is feasible for short distances, but given my age and the typical shopping trip distances in Cambridge, a private auto is more practical. The duration for a private auto trip would likely be in the 0-10 minute range for nearby stores."", ""Cultural differences between Cambridge and San Francisco might influence preferences, but since I'm in Cambridge, the availability of private vehicles and the suburban nature of some areas make private auto the most reliable choice.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.45}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-23"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
6,14562581347610925279,57,female,unemployed,3,415882,three_plus,naics44_45,bachelors_degree,home,17,private_auto,10-20,55-64,$300k+,walking,10-20,"[""As a 55-64 year old with a bachelor's degree and $300k+ income, I have the means for private transportation. However, with three people in the household and being unemployed, the need for daily commuting is less. Cambridge's walkability and bike-friendly infrastructure may encourage walking or biking for short trips. The presence of multiple vehicles suggests private car use is possible, but with no employment, the necessity for long commutes is low. The duration options suggest shorter trips, so the 0-10 minute durations are more likely for walking or biking. The weight distribution should reflect the higher likelihood of using private car for longer trips, but since the target distance is unknown, shorter durations are prioritized.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""00-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
7,9576552710193662466,22,male,not_in_labor_force,1,0,zero,not_working,bachelors_degree,home,19,auto_passenger,10-20,18-24,Under $10k,walking,10-20,"[""Given the profile of an 18-24 year old with a bachelor's degree but under $10k income and not in the labor force, the primary mode of transportation is likely to be walking. This is due to the low income and lack of vehicle access, combined with the young age and education level which may favor walking over biking or public transit. However, in Cambridge,MA, public transit is well-established and accessible, so it's a viable option. The weight for walking is higher due to the lack of a car and the short distances typical in urban areas. The duration for walking is likely to be 10-20 minutes as it's a common estimate for short trips. Public transit is also a possibility, but it might take longer due to waiting times and transfers, so the duration is estimated at 20-30 minutes. Biking is less likely due to the income level and potential safety concerns, but it's still a possible option with a shorter duration of 10-15 minutes. The overall weight distribution reflects the likelihood of each mode based on the profile and location.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.65}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-15"", ""weight"": 0.1}]"
8,6348336647541494293,21,male,employed,4,19595,one,naics722511,high_school,work,8,auto_passenger,10-20,18-24,$10k-$50k,private_auto,10-20,"[""As a young, employed individual in Cambridge, MA with a household size of 4 and one vehicle, I would likely prioritize driving my own car for work due to the availability of a private vehicle. However, public transit is also a viable option given the city's infrastructure. Walking is less likely due to the distance to work, but biking might be considered if the distance is short. The weight for private_auto would be high, while public_transit and auto_passenger would have moderate weights. Walking and biking would have lower weights due to potential distance and weather factors.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-10"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""40-50"", ""weight"": 0.05}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
9,8685067836990727789,41,male,employed,4,118306,zero,naics722513,high_school,work,8,public_transit,10-20,35-44,$100k-$150k,auto_passenger,0-10,"[""As a 35-44 year old employed individual with a household size of 4 and no available vehicles, the likelihood of driving is low due to lack of personal car access."", ""Cambridge, MA has a robust public transit system and bike infrastructure, making walking and biking feasible options for shorter distances."", ""The reference data suggests a higher preference for auto passenger options compared to private auto due to limited car ownership."", ""Walking is the most common mode for short distances, with durations typically ranging from 0-10 to 10-20 minutes.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]"
