,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,1008394524663602144,41,male,employed,5,165219,two,naics722511,k_12,work,8,public_transit,40-50,35-44,$150k-$200k,private_auto,10-20,"[""As a middle-aged, employed individual with two vehicles in a household of five, I prioritize convenience and efficiency for my commute. San Francisco's dense urban environment and public transit options make driving less appealing, but owning two cars provides flexibility. Given the typical workday, I'd prefer a private auto for directness, though public transit is a viable alternative if the distance is short. Walking is only feasible for very short trips, and as a working parent, time is a critical factor. I'm more likely to choose a private auto for its reliability and time-saving benefits, especially with a household of five, where carpooling might not be practical. The duration is likely to be within the 10-20 minute range, balancing speed and practicality.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
1,17686081048863139877,57,female,employed,2,195539,one,naics5615,bachelors_degree,eat,11,auto_passenger,10-20,55-64,$150k-$200k,private_auto,10-20,"[""As a 55-64 year old with a bachelor's degree and an income of $150k-$200k, I have the means to own a private vehicle, which is the most convenient for quick travel."", ""With a household size of 2, I may not have a second car, so relying on the one available vehicle is practical."", ""In San Francisco, walking is common for short distances, but with a higher income, private auto use is more likely for longer trips."", ""Public transit is viable but less preferred for someone in this income bracket due to time efficiency and comfort.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
2,12380665474442907958,78,male,not_in_labor_force,2,95313,two,not_working,bachelors_degree,eat,16,private_auto,10-20,65+,$50k-$100k,private_auto,10-20,"[""As a 65+ individual with a bachelor's degree and a household size of 2, I prioritize comfort and convenience. In San Francisco, walking is common for short distances, but with two vehicles available, private_auto is a strong option for flexibility. Public transit is viable but may be less preferred due to age and potential accessibility concerns. On-demand auto could be considered for specific needs, while biking is less likely due to age and infrastructure factors. Duration preferences lean towards shorter trips to accommodate potential health considerations.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
3,15124399126571121470,39,female,employed,2,41442,one,naics81,some_college,shop,9,walking,0-10,35-44,$10k-$50k,public_transit,30-40,"[""As a 35-44 year old employed individual with a household size of 2 in San Francisco, I prioritize convenience and time efficiency. Given the city's dense urban environment and limited parking, private auto use is common despite congestion. However, public transit is also prevalent due to its reliability and cost-effectiveness. Walking is feasible for short distances, while biking is less common due to infrastructure and safety concerns. The available duration choices suggest a range from 0-10 to 40-5, with 10-20 and 30-40 being the most realistic for a shopping trip. Considering the profile, private auto and public transit are the top modes, with walking as a secondary option for shorter distances.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}]"
4,18162470860445288605,8,female,under_16,5,196713,two,not_working,k_12,home,15,auto_passenger,0-10,Under 18,$150k-$200k,private_auto,0-10,"[""As an under 18 individual in a household with 5 members and two available vehicles, the likelihood of using private auto is high due to the presence of family cars. However, since the target distance is unknown, the choice of mode might depend on the actual travel distance."", ""Walking is a common mode in San Francisco due to its walkable neighborhoods, especially for shorter distances. The weight for walking would be moderate, especially if the distance is not too far."", ""Public transit is a viable option in San Francisco, especially for longer distances, but the weight might be lower for younger individuals who might prefer private modes for convenience."", ""Auto passenger mode could be considered if there's a family member driving, but the weight might be lower compared to private auto since the individual is under 18 and may have limited autonomy in transportation choices.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
5,15220852951598950010,58,female,not_in_labor_force,2,320964,two,not_working,advanced_degree,shop,10,private_auto,10-20,55-64,$300k+,private_auto,10-20,"[""As a 55-64 year old with an advanced degree and a high income, I prioritize comfort and convenience in transportation. San Francisco's hilly terrain and limited parking make private auto less practical, especially for a short trip. Walking is feasible for short distances but may be time-consuming. Public transit is reliable and efficient, but the elderly may prefer more flexible options."", ""With two vehicles available, private auto is an option, but the high cost of gas and parking in SF might discourage frequent use. Auto passenger could be a cost-effective alternative, especially if the destination is within walking distance of a transit hub or ride-share pickup."", ""The target distance is unknown, but for a shopping trip, a 10-20 minute duration is ideal. Walking for 0-10 minutes is suitable for nearby stores, while public transit or ride-share for 10-20 minutes offers a balance between time and cost."", ""Cultural factors in San Francisco, such as a strong bike culture and walkability in certain neighborhoods, might influence the choice between biking or walking for short trips.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}]"
6,14562581347610925279,57,female,unemployed,3,415882,three_plus,naics44_45,bachelors_degree,home,17,private_auto,10-20,55-64,$300k+,public_transit,"40-5, ","[""As a 55-64 year old with a bachelor's degree and a high income, I would prioritize convenience and comfort. San Francisco's walkability is limited, so walking is unlikely. Public transit is an option but may be less appealing due to age and potential mobility issues. With three vehicles available, private auto is the most practical choice. However, since I'm unemployed, I might consider carpooling or rideshares. The duration should be moderate, around 20-30 minutes, allowing for a relaxed pace without rushing.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-5, "", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
7,9576552710193662466,22,male,not_in_labor_force,1,0,zero,not_working,bachelors_degree,home,19,auto_passenger,10-20,18-24,Under $10k,public_transit,20-30,"[""I am in my 20s, have a bachelor's degree, and live alone with no car. In San Francisco, walking is common for short trips due to the city's walkability. Public transit is also popular because of limited parking and high car costs. However, with no car, I might walk for shorter distances and take public transit for longer ones. My income is low, so I might prioritize cost-effective options like walking or public transit. The duration depends on the distance, but I'll consider the most efficient and affordable options.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-4, "", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}]"
8,6348336647541494293,21,male,employed,4,19595,one,naics722511,high_school,work,8,auto_passenger,10-20,18-24,$10k-$50k,auto_passenger,10-20,"[""As a young, employed individual with a household size of 4 and a car available, I am likely to drive to work due to the convenience and time efficiency. Walking is an option if the distance is short, but given the household size, there's a possibility of carpooling. Public transit is also a consideration due to the city's infrastructure, but the availability of a private vehicle might make it less appealing. The duration for driving is expected to be moderate, considering traffic conditions in San Francisco.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
9,8685067836990727789,41,male,employed,4,118306,zero,naics722513,high_school,work,8,public_transit,10-20,35-44,$100k-$150k,public_transit,20-30,"[""As a 35-44 year old employed person with a household size of 4 and no available vehicles, I need to rely on public transit or walking for commuting. Given the high cost of private auto ownership in San Francisco, public transit is the most practical choice. Walking is also feasible for shorter distances, but public transit offers more flexibility for longer commutes. The available duration choices suggest that 10-20 minutes is the most common range for transit or walking, which aligns with typical morning commute times in a city with efficient public transport."", ""The reference data shows that public transit and walking are the dominant modes for this demographic, with higher weights on 10-20 and 20-30 minute durations. This reflects the urban density and the limited availability of private vehicles in San Francisco, where public transit is well-integrated and accessible."", ""Considering the cultural emphasis on sustainability and public transit usage in San Francisco, the choice of public transit with a 10-20 minute duration is more likely. However, if the distance is longer, a 20-30 minute duration with public transit might be necessary. Walking is also a viable option for shorter distances, but it's less likely due to the time constraints of a typical workday."", ""The weight distribution should prioritize public transit with 10-20 minutes at 0.4, public transit with 20-30 minutes at 0.3, and walking with 10-20 minutes at 0.2, with the remaining 0.1 allocated to other travel modes or longer durations. This distribution reflects the practicality and cultural preferences of the demographic in San Francisco.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""other_travel_mode"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
