,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,1008394524663602144,41,male,employed,5,165219,two,naics722511,k_12,work,8,public_transit,40-50,35-44,$150k-$200k,auto_passenger,30-40,"[""I have two cars, so driving is a reliable option. Since my household has five people, there's likely a carpool to work. Public transit is an option, but with my income, I prefer driving. Walking or biking is not feasible for a 5-person household. The trip duration is expected to be moderate, around 30-40 minutes.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""30-40"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.2}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}]"
1,17686081048863139877,57,female,employed,2,195539,one,naics5615,bachelors_degree,eat,11,auto_passenger,10-20,55-64,$150k-$200k,private_auto,30-40,"[""As a 55-64 year old with a bachelor's degree and an income of $150k-$200k, I have the means to use private auto or public transit. However, since I am employed and have a household size of 2, it's likely that I would prefer to use my own car for convenience and comfort. The target distance is unknown, but with a one vehicle available, I would be more inclined to use the private auto mode. The duration is likely to be in the 30-40 minute range, considering the time of day and the need to balance work and personal life. I would not prefer walking or biking due to my age and the typical distances covered. On-demand auto might be an option if there's no parking, but the private auto is the most probable choice.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
2,12380665474442907958,78,male,not_in_labor_force,2,95313,two,not_working,bachelors_degree,eat,16,private_auto,10-20,65+,$50k-$100k,walking,0-10,"[""As a 65+ individual with a bachelor's degree and a household size of 2, I have the ability to walk or bike for short distances, but I prefer private auto for longer trips due to comfort and convenience. Since I'm not in the labor force, I may not need to rush, allowing for a more relaxed travel time. With two vehicles available, I have the flexibility to choose between being a private auto driver or a passenger. Given the unknown target distance, I will consider all modes but prioritize private auto for its reliability and comfort."", ""I have a bachelor's degree, which indicates a certain level of education and possibly access to information about different transportation modes. However, as a 65+ individual, I may still prefer private auto due to comfort and familiarity. With two vehicles available, I have the option to use either as a private auto or passenger. Since the target distance is unknown, I will consider all modes but prioritize private auto for its reliability and comfort."", ""Given that I'm not in the labor force, I may not need to rush, allowing for a more relaxed travel time. With two vehicles available, I have the flexibility to choose between being a private auto driver or passenger. My age and education level suggest a preference for private auto, as it is more comfortable and familiar. The unknown target distance means I will consider all modes, but private auto will have the highest priority due to its reliability and comfort."", ""With two vehicles available, I have the flexibility to choose between being a private auto driver or passenger. My age and education level suggest a preference for private auto due to comfort and familiarity. Since I'm not in the labor force, I may not need to rush, allowing for a more relaxed travel, and the unknown target distance means I will consider all modes, but private auto will have the highest priority due to its reliability and comfort.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
3,15124399126571121470,39,female,employed,2,41442,one,naics81,some_college,shop,9,walking,0-10,35-44,$10k-$50k,private_auto,10-20,"[""As a working adult with a household of two and a car, I would likely drive to the store since it's the most convenient and time-efficient. However, if the destination is nearby, I might walk or bike. Public transit is less preferred due to the time it would take and the need to park the car. I would prefer a quick trip, so a 10-20 minute drive makes sense.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.6}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
4,18162470860445288605,8,female,under_16,5,196713,two,not_working,k_12,home,15,auto_passenger,0-10,Under 18,$150k-$200k,private_auto,30-40,"[""As a young person with a household of 5 and access to two vehicles, I prioritize convenience and safety. Walking and biking are less practical for a family with multiple members and the need to transport goods. Public transit is an option but may require waiting times and is less flexible for a family. Private auto offers the most control and comfort for a family of five. Auto passenger is also viable if someone else is driving, but private auto provides more flexibility. On-demand auto might be considered for longer distances but is less reliable for short trips. Other travel modes are not commonly used in this demographic.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.45}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""30-40"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}]"
5,15220852951598950010,58,female,not_in_labor_force,2,320964,two,not_working,advanced_degree,shop,10,private_auto,10-20,55-64,$300k+,walking,30-40,"[""With an advanced degree and $300k+ income, I prioritize convenience and time efficiency. Private auto offers the fastest and most comfortable way to shop, especially with two vehicles available."", ""Public transit is an option, but with the income level and age group, private auto is more likely. However, if the target distance is short, walking or biking might be considered for health reasons."", ""As someone not in the labor force, I may have more flexibility to choose modes that align with personal preferences over cost or efficiency."", ""The unknown distance makes it challenging, but with two vehicles available, private auto is the most reliable choice for a shopping trip.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""30-40"", ""weight"": 0.15}]"
6,14562581347610925279,57,female,unemployed,3,415882,three_plus,naics44_45,bachelors_degree,home,17,private_auto,10-20,55-64,$300k+,auto_passenger,20-30,"[""As an unemployed individual with a higher income, I may not need to commute to work, so my transportation choices are more about convenience and comfort. Since I have three vehicles available, driving is always an option. However, I might prefer private auto for its flexibility and comfort. Public transit is a viable option if I want to save on fuel costs. Walking and biking are less likely due to the age group and the need for a longer distance. On-demand auto could be a factor if I'm going somewhere specific, but it's less preferred than private auto. The duration is likely to be moderate, around 30-40 minutes, considering the distance and the comfort of driving.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.3}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""50-60"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
7,9576552710193662466,22,male,not_in_labor_force,1,0,zero,not_working,bachelors_degree,home,19,auto_passenger,10-20,18-24,Under $10k,walking,10-20,"[""As someone in the 18-24 age group with a bachelor's degree but limited income, I prioritize cost-effective and accessible options. Since I don't have a vehicle, walking or biking are the most feasible. Public transit is viable if the distance is moderate. However, with a low income, the cost of public transit might be a barrier. I'm more likely to choose walking for short distances and biking for slightly longer trips. The duration depends on the distance, but I prefer faster options to minimize time spent traveling."", ""Given that I'm not in the labor force and have limited income, I'm more inclined to choose the cheapest and most accessible mode. Walking is always an option, but if the distance is too far, I might consider public transit. Biking is another possibility if the weather is good and the distance is manageable. However, if the distance is too long, I might have to wait for public transit, which could take longer. The duration would depend on the distance, but I prefer faster options to minimize time spent traveling."", ""Considering my age, education, and income, I'm more likely to choose walking for short distances. If the distance is longer, I might consider public transit or biking. However, with a low income, the cost of public transit might be a barrier. I prefer faster options to minimize time spent traveling. The duration would depend on the distance, but I'm more likely to choose a mode that gets me home quickly."", ""My primary mode of transportation is likely to be walking or public transit, depending on the distance. If the distance is short, walking is the best option. If it's longer, public transit is more feasible. Biking is another possibility if the weather is good and the distance is manageable. However, with a low income, the cost of public transit might be a barrier. I prefer faster options to minimize time spent traveling. The duration would depend on the distance, but I'm more likely to choose a mode that gets me home quickly.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.05}]"
8,6348336647541494293,21,male,employed,4,19595,one,naics722511,high_school,work,8,auto_passenger,10-20,18-24,$10k-$50k,public_transit,30-40,"[""I need to get to work on time, so I'll prioritize the fastest and most reliable option."", ""Since I have a car, driving is a strong option, but I might consider public transit if there's a bus route."", ""My household has four people, so I might carpool or take public transit to save costs."", ""I'm young and might prefer faster options like driving or biking if the route is short.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""30-40"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""40-50"", ""weight"": 0.05}]"
9,8685067836990727789,41,male,employed,4,118306,zero,naics722513,high_school,work,8,public_transit,10-20,35-44,$100k-$150k,public_transit,30-40,"[""As a 35-44 year old with a household size of 4 and no available vehicles, I need to rely on public transit or walking for daily commuting. Since I have a high school education and an income of $100k-$150k, I may have access to a car but it's not available. Public transit is a feasible option, but walking might be more time-consuming. I need to balance the time taken with the reliability of the transit system. My primary mode will be public transit with a duration of 30-40 minutes, as it's the most realistic choice for this profile.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 1.0}]"
