,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,14941376504966255761,16,male,not_in_labor_force,4,140343,two,not_working,k_12,eat,14,walking,10-20,Under 18,$100k-$150k,walking,10-20,"[""As a young person with two vehicles available and not in the labor force, I am more likely to choose walking or biking for short distances. The presence of two vehicles might reduce the urgency to walk or bike, but since the distance is unknown, I still consider these options. The duration for walking and biking is typically 10-20 minutes, which aligns with the available choices. Auto passenger is also an option if someone is driving, but since I am not in the labor force, I might not have a regular driver. The weight for walking and biking is higher due to their accessibility and lower cost."", ""Given the household size of 4 and income group of $100k-$150k, there might be a preference for more convenient and faster modes. However, without knowing the exact distance, the choice between walking, biking, and auto passenger remains. The weight for each mode is adjusted based on typical behavior in Cambridge,MA, where biking and walking are common for short trips."", ""The education level being K-12 suggests a younger demographic, which typically prefers walking or biking for short distances. The availability of two vehicles might make auto passenger less preferred unless the distance is longer. The duration for walking and biking is estimated to be 10-20 minutes, which fits the available choices."", ""The cultural context in Cambridge,MA favors walking and biking due to urban planning and environmental awareness. The weight for these modes is higher, while auto passenger is considered if the distance is too far. The duration for these modes is consistent with the available options.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}]"
1,741506727884677094,60,male,employed,1,37850,one,naics445110,bachelors_degree,eat,14,walking,50-60,55-64,$10k-$50k,private_auto,10-20,"[""I have a car and prefer driving for convenience and comfort, especially since I'm older and might find walking or biking less suitable. Given my age and household size, I'm more likely to drive alone."", ""Walking is an option for short distances, but since the target distance is unknown, I can't determine if it's feasible. However, I might walk if the distance is very short."", ""I don't usually use on-demand auto services as they are more expensive and less convenient for a single trip. Private auto is more reliable and cost-effective for me."", ""Since I'm employed and have a regular schedule, I tend to stick to my usual mode of transport, which is driving.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}]"
2,5066275312758875498,17,male,employed,4,776722,three_plus,naics31_33,k_12,work,12,biking,0-10,Under 18,$300k+,auto_passenger,0-10,"[""As a young, employed individual with a high income and access to multiple vehicles, I would likely drive myself or as a passenger. Walking and biking are options if the distance is short, but since the distance is unknown, I'll prioritize modes with higher reliability. Cambridge, MA has good bike infrastructure, but the higher income and access to vehicles may lean towards private auto or auto passenger."", ""With a household size of 4, there might be shared vehicle use, but since I'm employed and need to get to work, private auto or auto passenger are the most reliable options. The unknown distance makes me prefer modes that don't depend on weather or physical exertion."", ""Cambridge, MA is known for its walkability and bike culture, but given my income and access to vehicles, I'm more likely to drive. The duration choices provided are all short, so I'll assume the trip is not very long. The weight for private auto and auto passenger will be higher due to their reliability and availability."", ""Since the distance is unknown, I'll consider all modes but prioritize those that are most reliable for a work commute. The higher income and access to vehicles make driving more likely than walking or biking, even though the latter are available options. The weight distribution will reflect this preference.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}]"
3,11838005633882312749,69,female,employed,2,92736,two,naics621492,advanced_degree,home,22,auto_passenger,10-20,65+,$50k-$100k,private_auto,0-10,"[""As a 65+ individual with an advanced degree and two vehicles available, I would prioritize private auto for convenience and comfort, especially after work. However, walking is also a viable option for short distances due to the walkable nature of Cambridge. The presence of multiple 'walking' options suggests that short trips are common. The 'private_auto' and 'auto_passenger' options are likely to be chosen for longer distances. The duration choices vary, but given the time of 22:00, a 0-10 minute trip is most likely for a short walk or quick drive.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-2, "", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
4,813905790027797463,20,male,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,19,walking,10-20,18-24,Under $10k,biking,0-10,"[""As someone in the 18-24 age group with a low income and not in the labor force, I prioritize cost-effective and accessible transportation. Walking is the most common choice due to short distances and the city's walkability. Public transit is also viable but may have limited late-night service. Biking is possible if the distance is short, but safety and weather might affect this. Auto passenger or private auto are less likely due to cost and availability of personal vehicles.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
5,9740434140416298652,24,male,employed,6,265299,zero,naics54,bachelors_degree,home,18,walking,10-20,18-24,$200k-$300k,public_transit,20-30,"[""Since I have a bachelor's degree and live in Cambridge, MA, I am more likely to prefer walking or public transit due to the city's walkable neighborhoods and good public transit options. However, with a household size of 6 and no available vehicles, I might need to rely more on public transit. The high income group suggests I can afford public transit or bike, but walking may be the most practical for short trips. The duration choices indicate that most people take between 10-30 minutes, so I would choose a mode that fits within this range.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
6,5906565684705481770,26,male,employed,2,115348,one,naics54,bachelors_degree,school,8,public_transit,20-30,25-34,$100k-$150k,walking,20-30,"[""As a 25-34 year old with a bachelor's degree and an income between $100k-$150k in Cambridge, MA, I am likely to prioritize convenience and efficiency. Given the short distance to school, walking is a feasible option. However, as a working professional, I may prefer a private auto for more flexibility. Public transit is also a viable option given the city's infrastructure. Biking is possible if the distance is short enough."", ""Cambridge has a well-developed public transit system, making public transit a common choice for similar demographics. However, the availability of a private car may influence the preference for driving. Walking is common for short distances, but may not be preferred if the distance is longer."", ""Given the household size of 2 and the presence of a private vehicle, there might be a tendency to use the car for convenience. However, the desire for a healthy lifestyle might lead to walking or biking for short distances."", ""The weight distribution should reflect the likelihood of each mode based on the income, education, and urban environment. Private auto and public transit are likely to have higher weights, while walking and biking may have lower weights.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.35}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
7,3852483032540214199,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,11,auto_passenger,0-10,18-24,Under $10k,walking,0-10,"[""As someone in the 18-24 age group with a low income and not in the labor force, I'm more likely to prioritize cost-effective and accessible options. Walking is a common choice for short trips in Cambridge due to its walkable neighborhoods and limited parking. Public transit is also a viable option given the city's transit infrastructure. However, with limited income, owning a vehicle may not be feasible, making walking or public transit the most practical choices. The duration for walking is likely to be 0-10 minutes for short distances, while public transit could take 10-20 minutes depending on the route."", ""Cambridge, MA has a strong emphasis on sustainable transportation, which aligns with the preference for walking and biking. However, given the low income and lack of employment, the primary mode might lean more towards walking rather than biking due to safety concerns or accessibility. The duration for biking could be 10-20 minutes for moderate distances."", ""The presence of public transit options in Cambridge makes it a viable choice for longer distances. However, the duration for public transit might be higher due to potential waiting times and transfers. The weight for public transit is likely to be higher than for biking due to its reliability and accessibility."", ""Given the low income and not in the labor force, the use of private auto or auto passenger is less likely. The weight for these options would be significantly lower compared to walking and public transit. The duration for private auto is likely to be 0-10 minutes for short trips, but this is less probable given the income constraints.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
8,14922557228822709708,36,male,employed,3,721688,zero,naics3399,advanced_degree,work,14,walking,10-20,35-44,$300k+,biking,10-20,"[""My profile is 35-44, $300k+, employed, household of 3, no car, advanced degree. Cambridge, MA is walkable and bike-friendly, so walking and biking are viable. However, with a household of 3, maybe I need to consider carpooling or ride-sharing. But since I have no car, on-demand auto services like Uber/Lyft might be an option. The duration for walking could be 20-30 minutes, biking 10-20, on-demand auto 0-10. I might prefer biking for health and environmental reasons. However, the target distance is unknown, so I need to consider all options. Weight for walking is moderate, biking is higher, on-demand auto is lower due to cost. But maybe I would prefer biking over walking for efficiency.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.15}]"
9,4845438217054045935,44,male,employed,5,86648,one,naics61,bachelors_degree,shop,15,auto_passenger,0-10,35-44,$50k-$100k,walking,0-10,"[""As a 35-44 year old employed individual with a bachelor's degree in Cambridge, MA, walking is a common choice for short trips due to the city's walkability and pedestrian-friendly environment. However, since the target distance is unknown, I consider the possibility of a short car trip. Given the household size of 5 and one available vehicle, private auto might be preferred for longer distances. On-demand auto services could be a flexible option for unpredictable distances. Biking is less likely due to weather and infrastructure considerations. Walking durations are typically shorter, while car trips might take longer.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
