,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,14941376504966255761,16,male,not_in_labor_force,4,140343,two,not_working,k_12,eat,14,walking,10-20,Under 18,$100k-$150k,public_transit,10-20,"[""As a young person with a car and not in the labor force, I would prefer to drive as it's convenient for eating out. However, since the target distance is unknown, I might consider walking if the destination is nearby. Public transit is an option if the destination is not too far and I don't want to drive. Biking is less likely due to the weather and terrain in San Francisco."", ""Given the household size of 4, there is a possibility of carpooling, but since I'm not in the labor force, it's more likely that I would use a private auto. Walking is also feasible for short distances, especially if the destination is within a 10-20 minute walk."", ""In San Francisco, public transit is reliable and accessible, so it's a viable option for shorter trips. However, for eating, which might involve going to a restaurant, walking or driving is more practical. The unknown target distance makes it harder to predict the exact mode, so I'll consider multiple options."", ""Considering the cultural context, San Francisco has a strong public transit system, but private car ownership is also common. Since the user is in Cambridge, MA, which has a different transit culture, the choice might lean more towards walking or public transit if the distance is short. However, with two cars available, private auto is still a strong contender.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}]"
1,741506727884677094,60,male,employed,1,37850,one,naics445110,bachelors_degree,eat,14,walking,50-60,55-64,$10k-$50k,other_travel_mode,0-10,"[""As a 55-64 year old employed individual with a bachelor's degree and a household size of 1 in San Francisco, I am likely to prioritize convenience and reliability. San Francisco's public transit system is well-established, but with limited parking and high costs, private auto ownership is common. However, as an employed individual, I may prefer to drive myself to maintain control over my schedule. Walking and biking are feasible for short distances, but with the current time of 14:00 and a desire to eat, I may be traveling to a nearby restaurant or grocery store. The duration for such trips is typically 10-20 minutes. Public transit might be an option if the destination is within walking distance of a transit stop. The 'auto_passenger' mode might be less likely as I prefer to drive myself. The 'other_travel_mode' is too vague and has low weight. The 'public_transit' and 'walking' modes have higher weights due to their availability and convenience. The 'private_auto' mode has the highest weight due to personal control and convenience.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-30"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""other_travel_mode"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
2,5066275312758875498,17,male,employed,4,776722,three_plus,naics31_33,k_12,work,12,biking,0-10,Under 18,$300k+,public_transit,40-50,"[""As a young, highly educated individual with a high income in San Francisco, I would likely prefer private auto transportation due to the city's car-centric culture and the convenience of owning multiple vehicles. However, since San Francisco has a robust public transit system, I might also consider public transit for shorter trips. Walking is viable for short distances but less common for work commutes in a city with limited walking infrastructure. Biking is possible but less likely due to weather and safety concerns. The duration choices reflect typical commute times for a city with traffic congestion.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]"
3,11838005633882312749,69,female,employed,2,92736,two,naics621492,advanced_degree,home,22,auto_passenger,10-20,65+,$50k-$100k,private_auto,0-10,"[""As an older adult with an advanced degree and employed, I prioritize comfort and safety. San Francisco's hilly terrain and weather conditions make walking or biking less appealing. Private auto offers flexibility and comfort, especially with two vehicles available. Public transit is an option but may be less reliable for late-night travel. On-demand auto could be considered for convenience, but duration might be longer. Given the context, private auto is the most reliable choice.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
4,813905790027797463,20,male,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,19,walking,10-20,18-24,Under $10k,biking,0-10,"[""As a young adult with limited income and no employment, I prioritize cost-effective and accessible transportation. San Francisco's walkable neighborhoods and extensive public transit make walking and public transit viable options. However, the lack of reliable vehicle access may limit private auto use. Biking is feasible in safe areas, while auto passenger status could be considered if someone else is driving. The duration choices reflect varying travel times based on distance and mode.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
5,9740434140416298652,24,male,employed,6,265299,zero,naics54,bachelors_degree,home,18,walking,10-20,18-24,$200k-$300k,public_transit,20-30,"[""As a young, employed individual with a bachelor's degree in San Francisco, I prioritize convenience and efficiency. Public transit is reliable and widely used here, especially with a household size of 6, making shared rides more common. Walking is feasible for short distances, but longer trips would require a car, which isn't available. Biking is less common due to urban density and weather conditions. Private auto is not an option, so public transit and walking are the main choices. Duration varies based on transit wait times and route efficiency.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
6,5906565684705481770,26,male,employed,2,115348,one,naics54,bachelors_degree,school,8,public_transit,20-30,25-34,$100k-$150k,biking,10-20,"[""As a 25-34 year old employed individual with a bachelor's degree in San Francisco, I prioritize convenience and efficiency due to the city's dense urban environment. Private auto ownership is common here, but public transit is also widely used due to the lack of parking. Walking is practical for short distances, and biking is popular for moderate distances. The presence of bike lanes and public transit infrastructure influences mode choice. Duration preferences align with typical commutes, with 10-20 minutes for short trips and 40-50 for longer ones. Cultural factors like environmental awareness and walkability shape preferences.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}]"
7,3852483032540214199,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,11,auto_passenger,0-10,18-24,Under $10k,public_transit,40-50,"[""As a young adult with limited income and no vehicle access, I prioritize affordable and accessible transportation options. In San Francisco, public transit is well-established and often more reliable than in Cambridge, making it a top choice."", ""Walking is feasible for short distances, but the steep hills in San Francisco may reduce its viability compared to Cambridge's flatter terrain. However, for nearby destinations, walking remains a common option."", ""Biking is popular in San Francisco due to its bike-friendly infrastructure, but the hilly terrain and weather conditions may make it less practical than in Cambridge. Still, it's a viable option for short trips."", ""Private auto and auto passenger options are less likely due to limited income and vehicle access. However, if a vehicle is available, driving might be preferred for longer distances.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
8,14922557228822709708,36,male,employed,3,721688,zero,naics3399,advanced_degree,work,14,walking,10-20,35-44,$300k+,walking,0-10,"[""As a highly educated, employed individual in San Francisco with a household size of 3 and no available vehicles, I am likely to rely on public transit or on-demand services due to limited car access. However, given the high walkability and bike-friendliness of SF, I might consider walking or biking for short distances. My advanced degree and income suggest a preference for efficient, cost-effective, and environmentally friendly options. The cultural context in SF, with its dense urban layout and strong public transit system, makes public transit a viable option. However, the presence of hills and weather conditions may impact walking and biking preferences. The duration choices reflect the time investment required for each mode, with public transit and on-demand services often taking longer but being more reliable.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""biking"", ""duration_minutes"": ""40-50"", ""weight"": 0.05}]"
9,4845438217054045935,44,male,employed,5,86648,one,naics61,bachelors_degree,shop,15,auto_passenger,0-10,35-44,$50k-$100k,private_auto,10-20,"[""As a 35-44 year old, employed individual with a bachelor's degree in San Francisco, I likely prioritize convenience and efficiency due to the city's high cost of living and congestion. Walking and biking are feasible for short distances but less so for longer trips. Private auto offers flexibility but is expensive and subject to traffic. Public transit is reliable but may require transfers. Considering the household size of 5, shared transportation might be considered, but the available vehicles limit this. The duration choices indicate a preference for quick trips, so the 0-10 and 10-2, 20-30 ranges are most relevant. Cultural differences between San Francisco and Cambridge may influence a greater preference for public transit in SF due to higher density and better infrastructure."", ""San Francisco's hilly terrain and urban density make walking and biking viable for short distances, but longer trips may require more efficient modes. The presence of a private auto increases the likelihood of car use, especially for longer distances. Public transit is a common choice due to its reliability and coverage, though it may take longer. The 0-10 and 10-20 duration ranges align with typical travel times for short trips, while longer durations might be associated with more complex routes or transfers."", ""Given the household size and the presence of a private auto, there might be a consideration for shared trips or carpooling, but the available vehicles limit this. The weight distribution should reflect the likelihood of each mode based on the context and the individual's profile. The 0-10 and 10-20 duration ranges are most relevant for quick trips, while 20-30 and 40-50 might be for longer distances. The cultural context of San Francisco, with its emphasis on sustainability and public transit, could influence a greater preference for public transit over private auto."", ""The choice between private auto and public transit depends on the target distance and the individual's need for flexibility. The 0-10 and 10-20 duration ranges suggest a preference for quick travel, which aligns with both walking and biking for short distances. The private auto might be preferred for longer distances due to time constraints. The weight distribution should reflect the balance between convenience, cost, and time efficiency, with a slight edge towards public transit due to cultural and infrastructural factors.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}]"
