,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,14941376504966255761,16,male,not_in_labor_force,4,140343,two,not_working,k_12,eat,14,walking,10-20,Under 18,$100k-$150k,walking,0-10,"[""I'm under 18 and not in the labor force, so my trips are likely discretionary and related to leisure or errands."", ""My household size is 4, suggesting a need for occasional trips involving family members."", ""Having two vehicles provides flexibility, but Cambridge has good public transit and biking infrastructure, making those attractive options."", ""The desire is to eat, which could mean going to a restaurant or grabbing a quick bite. I'm leaning towards a relatively short trip.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
1,741506727884677094,60,male,employed,1,37850,one,naics445110,bachelors_degree,eat,14,walking,50-60,55-64,$10k-$50k,walking,10-20,"[""It's 2 PM and I'm hungry, so getting food is the priority."", ""I'm employed and have a bachelor's degree, suggesting a relatively stable routine and potentially a location near work or home."", ""Given my age group (55-64) and income level, cost-effectiveness and convenience are important factors."", ""Cambridge, MA is known for its walkability and public transit, making those attractive options.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
2,5066275312758875498,17,male,employed,4,776722,three_plus,naics31_33,k_12,work,12,biking,0-10,Under 18,$300k+,walking,0-10,"[""Given my age group (Under 18), I'm likely to be either going to or from school/work, or potentially an activity."", ""My household size of 4 and available vehicles (three_plus) suggest a comfortable living situation and access to cars."", ""My high income group ($300k+) indicates a strong ability to afford private transportation."", ""Cambridge, MA is known for its walkability and biking culture, but considering my age and potentially needing to travel with others, a car is a practical choice.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.6}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
3,11838005633882312749,69,female,employed,2,92736,two,naics621492,advanced_degree,home,22,auto_passenger,10-20,65+,$50k-$100k,on_demand_auto,0-10,"[""It's late (22:00) and I'm aiming to go home."", ""Given my age group (65+), I'm likely to prioritize comfort and safety over speed."", ""I have two vehicles available, but driving myself at this hour might be tiring and parking could be difficult."", ""Public transit or a ride-sharing service would be convenient, especially considering Cambridge's good public transit options.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.35}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
4,813905790027797463,20,male,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,19,walking,10-20,18-24,Under $10k,walking,0-10,"[""Given my age (18-24), income (under $10k), and employment status (not in labor force), cost is a significant factor."", ""Cambridge, MA is known for its walkability and biking infrastructure, making active transportation appealing."", ""Without a vehicle, my options are limited to walking, biking, or relying on others for rides."", ""It's 7pm, and I'm likely heading home after spending the day out. A relatively short duration is expected.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.55}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.03}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.02}]"
5,9740434140416298652,24,male,employed,6,265299,zero,naics54,bachelors_degree,home,18,walking,10-20,18-24,$200k-$300k,private_auto,10-20,"[""Given my income and education level, I'm likely to prioritize convenience and speed, despite Cambridge's strong walkability and biking culture."", ""Having a household size of 6 and zero available vehicles significantly limits my options and necessitates reliance on public transport or rideshares, although those options aren't listed here."", ""The 'home' desire suggests a trip from work to home, which is likely a longer commute."", ""Given the limited listed choices and my profile, I will prioritize the fastest private auto option, understanding that it may not be the most environmentally friendly choice.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.6}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
6,5906565684705481770,26,male,employed,2,115348,one,naics54,bachelors_degree,school,8,public_transit,20-30,25-34,$100k-$150k,biking,20-30,"[""It's a normal weekday and I need to get to school."", ""Given my profile (25-34, $100k-$150k income, employed, bachelor's degree, household of 2, one vehicle) and Cambridge's culture, biking or walking are likely options, especially for shorter distances."", ""With only one vehicle, I'm more likely to prioritize cost-effective and potentially healthy modes like biking or walking if feasible."", ""Given the context, I will consider the available duration to determine the best choice.""]","[{""primary_mode"": ""biking"", ""duration_minutes"": ""20-30"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
7,3852483032540214199,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,some_college,home,11,auto_passenger,0-10,18-24,Under $10k,walking,0-10,"[""I'm 18-24, with a low income and not employed, so cost is a major factor."", ""Cambridge is known for its walkability and bike-friendly infrastructure."", ""Given my current desire to go home and the memory of it being a normal weekday, a short trip is likely."", ""Without a vehicle, walking or biking are the most realistic options.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.5}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.03}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.02}]"
8,14922557228822709708,36,male,employed,3,721688,zero,naics3399,advanced_degree,work,14,walking,10-20,35-44,$300k+,public_transit,10-20,"[""Given my income and education level, I prioritize convenience and time efficiency."", ""With a household size of 3 and no available vehicles, relying on external modes is necessary."", ""Cambridge, MA has a strong public transit and biking culture, but given the current desire is 'work', I\u2019m prioritizing speed and reliability."", ""On-demand auto services offer a good balance of speed and convenience for a workday commute, even with the cost.""]","[{""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.6}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
9,4845438217054045935,44,male,employed,5,86648,one,naics61,bachelors_degree,shop,15,auto_passenger,0-10,35-44,$50k-$100k,public_transit,10-20,"[""Given my profile (35-44, $50k-$100k income, employed, household of 5, one vehicle), a shopping trip at 3:00 PM on a weekday requires careful consideration of time, convenience, and cost."", ""With a large household and only one vehicle, carpooling or using public transit to minimize vehicle usage and potential parking hassles are attractive options."", ""The target distance is unknown, but shopping trips often involve multiple stores and potentially some walking, so a mode that allows for some flexibility is desired."", ""Cambridge, MA is known for its walkability and public transit options, so those are reasonably likely choices.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
