,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,1008394524663602144,41,male,employed,5,165219,two,naics722511,k_12,work,8,public_transit,40-50,35-44,$150k-$200k,public_transit,40-50,"[""As a 35-44 year old with a household size of 5 and two available vehicles, I have the flexibility to choose between private auto and public transit. However, I prefer private auto as it offers more control over my commute. Given the target distance is unknown, I consider the average duration for a private auto commute to be around 30-40 minutes. The duration for public transit might be longer due to potential delays, so I'll allocate higher weight to private auto with a shorter duration.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.6}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.4}]"
1,17686081048863139877,57,female,employed,2,195539,one,naics5615,bachelors_degree,eat,11,auto_passenger,10-20,55-64,$150k-$200k,public_transit,40-50,"[""As a 55-64 year old with a bachelor's degree and an income between $150k-$200k, I am likely to prefer private auto for its convenience and comfort, especially since I'm employed and have a household of 2. Public transit might be considered if there's a good connection, but private auto is more reliable for my routine. Walking or biking would only be feasible if the target distance is very short, which I don't know yet. I might consider on-demand auto if time is a priority, but the duration is still uncertain.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.15}]"
2,12380665474442907958,78,male,not_in_labor_force,2,95313,two,not_working,bachelors_degree,eat,16,private_auto,10-20,65+,$50k-$100k,walking,30-40,"[""As a 65+ individual with a bachelor's degree and a household size of 2, I have the necessary skills for walking and biking, but due to age and potential health considerations, I may prefer less physically demanding options. With two available vehicles, private auto is a convenient option, but the choice of mode may depend on the target distance. Since the target distance is unknown, I consider all modes but prioritize based on personal preference and convenience. The duration is not specified, so I consider a range of durations based on typical travel times for each mode. The available modes include walking, biking, private auto, and public transit, with public transit being an option if the distance allows. I weigh the modes based on convenience, health considerations, and the availability of vehicles.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
3,15124399126571121470,39,female,employed,2,41442,one,naics81,some_college,shop,9,walking,0-10,35-44,$10k-$50k,private_auto,10-25,"[""As a 35-44 year old with some college education and a household income of $10k-$50k, I likely have a car but may prefer public transit for cost-effectiveness."", ""Since I'm employed and have a household size of 2, I might prioritize time efficiency but also consider shared transportation options like public transit."", ""With one available vehicle, I may not always use it for short trips, especially if the destination is within walking distance."", ""Given the target distance is unknown, I'll consider a range of modes and durations, but will likely favor the most efficient and cost-effective options.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-25"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}]"
4,18162470860445288605,8,female,under_16,5,196713,two,not_working,k_12,home,15,auto_passenger,0-10,Under 18,$150k-$200k,private_auto,30-40,"[""As a young person with a family, I would prioritize safety and convenience. Since I have two vehicles available, driving is a reliable option. However, I might consider public transit for shorter trips to reduce traffic. Walking and biking are less likely due to the need to travel with family members and the time constraints."", ""The household has five members, so I would need to consider the comfort and safety of all family members. Driving provides more flexibility and comfort for a family of five."", ""With an income of $150k-$200k, I have the financial means to use private auto or public transit. However, I might prefer private auto for its convenience and comfort."", ""Since it's a weekday, I would prefer a mode that allows me to get home quickly without causing delays for the family.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
5,15220852951598950010,58,female,not_in_labor_force,2,320964,two,not_working,advanced_degree,shop,10,private_auto,10-20,55-64,$300k+,walking,50-60,"[""As a 55-64 year old with an advanced degree and $300k+ income, I likely have the means and time to prefer private auto for shopping trips. With two vehicles available, driving is a convenient option. However, I might consider public transit if the destination is within walking distance. Since the target distance is unknown, I'll account for different durations based on typical shopping trip lengths.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.5}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""50-60"", ""weight"": 0.1}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
6,14562581347610925279,57,female,unemployed,3,415882,three_plus,naics44_45,bachelors_degree,home,17,private_auto,10-20,55-64,$300k+,on_demand_auto,40-50,"[""As someone in the 55-64 age group with a bachelor's degree and a high income, I prioritize comfort and convenience. With three or more vehicles available, private auto offers the most flexibility and comfort for returning home. Public transit is an option but might be less comfortable for a longer trip. Walking or biking would be impractical for a longer distance. On-demand auto could be an option if there's a need for convenience, but private auto is more reliable. The duration for private auto would likely be in the 30-40 minute range, considering the distance and traffic conditions.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.6}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.2}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
7,9576552710193662466,22,male,not_in_labor_force,1,0,zero,not_working,bachelors_degree,home,19,auto_passenger,10-20,18-24,Under $10k,walking,30-40,"[""As a young adult with a bachelor's degree, I have the physical ability to walk or bike, but given my low income and lack of a vehicle, I'm more likely to rely on public transit or walking for short distances. Since I'm not in the labor force, I may have flexible schedules that allow for longer travel times. My single household size means I don't need to consider carpooling or shared transportation options.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.3}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.2}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""50-60"", ""weight"": 0.1}]"
8,6348336647541494293,21,male,employed,4,19595,one,naics722511,high_school,work,8,auto_passenger,10-20,18-24,$10k-$50k,auto_passenger,10-20,"[""I need to get to work as quickly as possible since I have a busy schedule."", ""I have a car, so driving is an option, but traffic might be bad."", ""Public transit is an option, but I might not have enough time to wait for the bus."", ""Biking could be an option if the distance is short, but I'm not sure about the weather.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}]"
9,8685067836990727789,41,male,employed,4,118306,zero,naics722513,high_school,work,8,public_transit,10-20,35-44,$100k-$150k,public_transit,30-40,"[""As a 35-44 year old employed individual with a household size of 4 and no available vehicles, I need to consider reliable and efficient transportation options. Since I have no car, public transit is a logical choice. My income allows for occasional use of on-demand auto services, but it's more expensive. Walking and biking are feasible only for short distances. Given the weekday morning commute, public transit is the most practical option. The duration will depend on the distance, but I expect it to take between 30-40 minutes.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.6}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
