,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,1008394524663602144,41,male,employed,5,165219,two,naics722511,k_12,work,8,public_transit,40-50,35-44,$150k-$200k,private_auto,10-20,"[""As a 35-44 year old employed individual with two vehicles, I have the flexibility to choose between private auto and public transit, but my household size of 5 may influence my preference for carpooling."", ""The income range of $150k-$200k in San Francisco suggests a higher likelihood of owning and using private vehicles, especially given the city's car-centric infrastructure and limited bike lanes."", ""Walking and biking are less practical for longer distances, but the presence of 'walking' options in the choices implies that for short trips, walking might be a viable option."", ""Public transit is a common choice in San Francisco due to its extensive network, but the availability of private vehicles and the potential for carpooling could make auto_passenger a more attractive option.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
1,17686081048863139877,57,female,employed,2,195539,one,naics5615,bachelors_degree,eat,11,auto_passenger,10-20,55-64,$150k-$200k,walking,0-10,"[""As a 55-64 year old with a bachelor's degree and an income of $150k-$200k, I am likely to prioritize comfort and convenience. San Francisco's hilly terrain makes biking less appealing, especially for a person in my age group. Walking is feasible for short distances but may not be practical for longer trips. Being employed, I might consider car options, but with only one vehicle available, I need to balance personal and professional needs. The presence of 'auto_passenger' and 'private_auto' suggests I might be more inclined to use carpooling or driving myself for efficiency.""]","[{""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""30-40"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
2,12380665474442907958,78,male,not_in_labor_force,2,95313,two,not_working,bachelors_degree,eat,16,private_auto,10-20,65+,$50k-$100k,private_auto,10-20,"[""As a 65+ individual with a bachelor's degree and two vehicles available, I prioritize comfort and safety. San Francisco's hilly terrain and weather make biking less appealing. Walking is feasible for short distances, but longer trips would require a car. With two vehicles, private auto use is common for moderate distances. Auto passenger is less likely due to limited public transit options and the need for a ride-share. Duration choices reflect typical travel times for these modes in the city.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
3,15124399126571121470,39,female,employed,2,41442,one,naics81,some_college,shop,9,walking,0-10,35-44,$10k-$50k,walking,0-10,"[""As a person in my 30s with a moderate income and a car, I'm more likely to drive alone for shopping trips. However, San Francisco's bike-friendly infrastructure and walkable neighborhoods might make walking or biking viable for short distances. Public transit is an option if the destination is near a transit stop. I'll prioritize convenience and time efficiency.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
4,18162470860445288605,8,female,under_16,5,196713,two,not_working,k_12,home,15,auto_passenger,0-10,Under 18,$150k-$200k,auto_passenger,10-20,"[""As an under 18 individual in a household with 5 members, I likely have limited driving privileges and rely on family vehicles. San Francisco's bike infrastructure and pedestrian-friendly areas make walking and biking viable options. Public transit is a common choice due to high population density and limited parking. Private auto use is less likely due to age restrictions and household vehicle availability."", ""Given the household size and income level, there's a higher chance of carpooling or using public transit. Walking and biking are practical for short distances, while longer trips might involve public transit. The duration choices reflect typical travel times for these modes in a busy urban environment.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
5,15220852951598950010,58,female,not_in_labor_force,2,320964,two,not_working,advanced_degree,shop,10,private_auto,10-20,55-64,$300k+,walking,0-10,"[""As a 55-64 year old with an advanced degree and $300k+ income, I likely prioritize convenience and comfort. San Francisco's walkability and public transit access make walking feasible for short trips. However, with two vehicles available and not in the labor force, private auto use is a strong option for greater distances. The presence of auto passenger options suggests carpooling is common, but given my age and income, I might prefer solo travel. The duration choices reflect typical commutes, with shorter durations preferred for errands.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}]"
6,14562581347610925279,57,female,unemployed,3,415882,three_plus,naics44_45,bachelors_degree,home,17,private_auto,10-20,55-64,$300k+,auto_passenger,0-10,"[""As an unemployed individual with a high income, I may not need to commute to work, but I still have a household of three to consider. With three or more vehicles available, I have the flexibility to choose the most convenient mode of transportation. San Francisco's urban environment and walkability make walking a viable option for short distances. However, for longer distances, private auto or auto passenger would be more suitable. The duration for private auto is likely to be longer than walking, but given the availability of vehicles, it's still a practical choice. Since the target distance is unknown, I'll consider the most common choices for similar profiles in San Francisco.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
7,9576552710193662466,22,male,not_in_labor_force,1,0,zero,not_working,bachelors_degree,home,19,auto_passenger,10-20,18-24,Under $10k,walking,0-10,"[""As someone in my 20s with a bachelor's degree, I'm likely to prefer biking or walking over driving, especially in a city like San Francisco where biking infrastructure is growing. However, since I'm not in the labor force and have no car, I might rely more on walking for short trips. The weight for walking would be higher due to the lack of a car and the city's walkability. Biking could be an option for slightly longer distances, but it's less common for people with lower incomes. Private auto and auto passenger options are less likely due to my income level and no vehicle access. The duration weights would reflect typical walking times for different distances.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
8,6348336647541494293,21,male,employed,4,19595,one,naics722511,high_school,work,8,auto_passenger,10-20,18-24,$10k-$50k,public_transit,20-30,"[""As a young, employed individual with a household size of 4 in San Francisco, I have a limited vehicle and need to balance work and family commitments. San Francisco's bike-friendly culture and public transit options make these viable choices. However, walking is limited due to the city's hilly terrain and long distances. Private auto use is less likely due to traffic and parking challenges. Public transit is a practical option for longer commutes. I prefer modes that are efficient, accessible, and consider the city's unique characteristics.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
9,8685067836990727789,41,male,employed,4,118306,zero,naics722513,high_school,work,8,public_transit,10-20,35-44,$100k-$150k,public_transit,20-30,"[""As a 35-44 year old employed individual with a household size of 4 in San Francisco, I need to consider cost, time, and convenience. With no available vehicles, the options are limited. Public transit is a common choice in SF due to its density and bike infrastructure. However, walking and biking are also feasible for short distances. Private auto and auto passenger options are less likely due to the high cost and limited parking. The duration should be reasonable for a work commute.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
