,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,1008394524663602144,41,male,employed,5,165219,two,naics722511,k_12,work,8,public_transit,40-50,35-44,$150k-$200k,auto_passenger,10-20,"[""As a 35-44 year old with a household size of 5, I likely have a family to consider. Cambridge, MA has good walkability, but with a 5-person household, it's more practical to have a car. My income allows for private auto use, but I might carpool to reduce costs. The reference data shows private_auto is common, but auto_passenger is also a choice. Walking is less likely due to distance. Duration is important for work efficiency.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]"
1,17686081048863139877,57,female,employed,2,195539,one,naics5615,bachelors_degree,eat,11,auto_passenger,10-20,55-64,$150k-$200k,private_auto,10-20,"[""I am in my 50s, employed with a household income of $150k-$200k, and have a car. I prefer driving my own car for convenience and reliability, especially on a normal weekday. Since I have a car, I am more likely to use it for short trips like eating out. Walking is an option if the destination is nearby, but I prefer the car for longer distances. Public transit is less likely for me due to the availability of a car and the time it takes. Auto passenger is not a viable option since I am the primary driver. The duration for driving is likely to be 10-20 minutes, as it's a short trip. I consider the cultural context of Cambridge,MA where car ownership is common and public transit usage is lower compared to San Francisco,CA.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-3,0"", ""weight"": 0.1}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}]"
2,12380665474442907958,78,male,not_in_labor_force,2,95313,two,not_working,bachelors_degree,eat,16,private_auto,10-20,65+,$50k-$100k,private_auto,20-30,"[""As a 65+ individual with a bachelor's degree and a household size of 2, I have the capability to walk short distances. However, given my age and the typical lifestyle of this demographic, I might prefer a private auto for longer trips. The presence of two vehicles in the household makes car use more convenient. Since Cambridge, MA has a relatively car-centric culture compared to San Francisco's walkable neighborhoods, private auto is more likely. The duration for a private auto trip would be around 20-30 minutes, which fits the typical traffic conditions in Cambridge. Walking is also an option for short distances, but the duration might be longer due to slower pace and potential for stops.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.5}, {""primary_mode"": ""walking"", ""duration_minutes"": ""40-50"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}]"
3,15124399126571121470,39,female,employed,2,41442,one,naics81,some_college,shop,9,walking,0-10,35-44,$10k-$50k,private_auto,20-30,"[""As a 35-44 year old with some college education and an employed status, I would prioritize convenience and efficiency. In Cambridge,MA, the availability of private vehicles and the moderate distances for shopping trips make private auto a common choice. However, walking is also feasible for short distances and aligns with the city's walkability. Biking could be an option if the distance is moderate, but the presence of a car might make it less preferred. The duration for private auto is generally higher due to traffic and parking, while walking and biking are quicker for shorter trips. Considering cultural context, Cambridge has a good public transit system, but since the available choices don't include transit, the focus remains on private auto, walking, and biking. The weight distribution reflects the likelihood of each mode based on the profile and context.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}]"
4,18162470860445288605,8,female,under_16,5,196713,two,not_working,k_12,home,15,auto_passenger,0-10,Under 18,$150k-$200k,private_auto,10-20,"[""As a young person with a household of 5 and two vehicles available, I likely have the flexibility to choose between different modes. However, being under 18, I might rely on parents for transportation, which could influence mode choice. Cambridge,MA has a bike-friendly culture but might not be as walkable as San Francisco. With two vehicles available, private auto is a strong option, but walking or biking could be feasible for shorter distances. Duration preferences might be influenced by school schedules or family activities."", ""Considering the age group and household size, walking might be common for short trips, but with two vehicles, private auto is also a possibility. The presence of multiple vehicles might reduce the likelihood of biking, especially if the distance is not short. In Cambridge,MA, biking is common but may depend on the distance and weather conditions. Duration choices might vary based on the purpose of the trip, but the reference data suggests a range of possible durations.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]"
5,15220852951598950010,58,female,not_in_labor_force,2,320964,two,not_working,advanced_degree,shop,10,private_auto,10-20,55-64,$300k+,private_auto,30-40,"[""As a 55-64 year old with an advanced degree and $300k+ income, I have the means and time for flexible travel. Cambridge,MA has good walkability but my household size of 2 and two vehicles suggest I might prefer private auto for convenience. However, with a normal weekday and no specific rush hour needs, walking is still viable for short trips. The cultural context of Cambridge being more suburban than San Francisco's dense urban environment might lean me toward private auto for longer distances. The duration choices reflect varying trip lengths, with 10-20 and 30-40 minutes being common for errands.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}]"
6,14562581347610925279,57,female,unemployed,3,415882,three_plus,naics44_45,bachelors_degree,home,17,private_auto,10-20,55-64,$300k+,auto_passenger,10-20,"[""As an unemployed individual with a higher income, I may not need to commute to work, so the primary mode choice might focus on convenience and comfort. Walking is a common mode for short trips, especially with a household size of 3. However, since I have three or more vehicles available, private auto is a likely choice for longer distances. The duration choices suggest that most trips are relatively short, so a 10-20 minute duration is plausible. Considering cultural differences, Cambridge has a more car-centric environment compared to San Francisco, so private auto is more preferred. The weight distribution reflects these factors.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}]"
7,9576552710193662466,22,male,not_in_labor_force,1,0,zero,not_working,bachelors_degree,home,19,auto_passenger,10-20,18-24,Under $10k,walking,0-10,"[""Given the profile of an 18-24 year old with a bachelor's degree, but under $10k income and not in the labor force, walking is the most likely mode due to the low income and no car. However, biking is also a strong option in Cambridge,MA which is bike-friendly. Private auto is less likely due to cost and lack of vehicle. The duration is likely to be short since the person is likely to live within walking distance. The cultural context of Cambridge,MA favors active transportation over car use, so walking and biking have higher weights.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
8,6348336647541494293,21,male,employed,4,19595,one,naics722511,high_school,work,8,auto_passenger,10-20,18-24,$10k-$50k,auto_passenger,10-20,"[""As a young, employed individual in a household of four with one vehicle, I likely prioritize convenience and time efficiency for my work commute. Cambridge, MA has a well-developed public transit network, but with limited bike lanes and moderate weather conditions, biking may not be ideal. Walking is feasible for short distances but less so for longer commutes. With a car available, driving is a practical option, though parking can be challenging. Private auto offers flexibility, while auto passenger may be less reliable due to potential delays. Considering the cultural context of Cambridge, which values sustainability but also has car ownership norms, I weigh the options based on reliability, cost, and time.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
9,8685067836990727789,41,male,employed,4,118306,zero,naics722513,high_school,work,8,public_transit,10-20,35-44,$100k-$150k,walking,0-10,"[""As a 35-44 year old, employed individual with a household size of 4 and no available vehicles, I would likely rely on walking or public transit. However, since the available mode choices listed don't include public transit, I have to choose from the given options. Walking is a viable option for short distances, and the reference data indicates that walking is a common choice. Auto passenger could be an option if someone else is driving, but I would prefer walking for health and cost reasons. Biking is possible for shorter trips, but I would need to consider the weather and safety. The reference data shows that private auto is also an option, but without a vehicle, that's less likely. The available duration choices suggest that most trips are relatively short, which aligns with walking or biking. I would prioritize walking for its accessibility and health benefits, followed by auto passenger if needed, and then biking for shorter distances.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
