,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,1008394524663602144,41,male,employed,5,165219,two,naics722511,k_12,work,8,public_transit,40-50,35-44,$150k-$200k,public_transit,20-30,"[""As a working professional with a household size of 5, I likely have a car for commuting to work."", ""San Francisco's public transit is well-developed, but I might prefer driving for reliability and comfort."", ""Walking and biking may be less practical for longer distances or in heavy traffic."", ""Having two vehicles increases the likelihood of using a private auto for work commutes.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
1,17686081048863139877,57,female,employed,2,195539,one,naics5615,bachelors_degree,eat,11,auto_passenger,10-20,55-64,$150k-$200k,private_auto,0-10,"[""As a 55-64 year old with a bachelor's degree and a household income of $150k-$200k, I likely prioritize convenience and comfort. San Francisco's car-centric infrastructure makes private auto the most reliable option for a normal weekday, especially with a household vehicle available. Public transit is viable but may involve waiting times and potential delays, which might be less appealing for a meal. Walking and biking are feasible for short distances but depend on the target location. On-demand auto offers flexibility but is more expensive. Given the context and my profile, private auto is most probable with a duration of 0-10 minutes for a quick trip to eat.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.45}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
2,12380665474442907958,78,male,not_in_labor_force,2,95313,two,not_working,bachelors_degree,eat,16,private_auto,10-20,65+,$50k-$100k,private_auto,20-30,"[""As a 65+ individual with a bachelor's degree and a household size of 2, I value convenience and safety. San Francisco's infrastructure supports biking and public transit, but I prefer private auto for comfort and reliability. With two vehicles available, I can easily manage short trips. Since I'm not in the labor force, I might prioritize leisure activities over long commutes. The choice of walking is likely for short distances, while public transit is viable for moderate distances. The duration weights reflect the time needed for these modes, with private auto being the most efficient for longer trips.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.05}, {""primary_mode"": ""other_travel_mode"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
3,15124399126571121470,39,female,employed,2,41442,one,naics81,some_college,shop,9,walking,0-10,35-44,$10k-$50k,private_auto,0-10,"[""I have a car and prefer driving to shop, but I might walk if it's nearby. Walking is common in SF for short trips. Public transit is an option but less preferred due to time. Biking is possible but less common for shopping."", ""My household has two people, so I might drive alone or carpool. However, with one vehicle, driving alone is more likely. I might take public transit if the route is convenient."", ""SF has a car-centric culture, but walking is common for short distances. I might choose walking for nearby shops. Public transit is used for longer distances, but it's slower."", ""I work and have a routine, so I might stick to my usual mode. If the shop is close, walking is efficient. If it's farther, driving or public transit is more practical.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
4,18162470860445288605,8,female,under_16,5,196713,two,not_working,k_12,home,15,auto_passenger,0-10,Under 18,$150k-$200k,auto_passenger,10-20,"[""As a young person with a household size of 5, I'm likely to have access to multiple transportation options. Walking is a viable option for short distances, but with a larger household, there might be a preference for more convenient modes. Public transit is common in San Francisco and could be a practical choice for longer distances. Since I'm under 16, I might not have a driver's license, making private auto less likely. However, if someone in the household has access to a car, auto passenger could be an option. The available vehicles being two might suggest some car availability but not necessarily for me personally. The reference data shows that walking is one of the top choices, but with the household size, there could be a higher likelihood of using public transit or being an auto passenger. The duration choices suggest that most trips are relatively short, so a 20-30 minute duration seems plausible. The weight distribution should reflect the likelihood of each mode based on the reference data and the profile characteristics.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
5,15220852951598950010,58,female,not_in_labor_force,2,320964,two,not_working,advanced_degree,shop,10,private_auto,10-20,55-64,$300k+,public_transit,10-20,"[""As a 55-64 year old with an advanced degree and a high income, I would likely prefer private auto for convenience and comfort, especially since I have two vehicles available. However, given San Francisco's infrastructure and environmental awareness, public transit and biking might be considered as well. Since I'm not in the labor force, I might have more flexibility to choose modes that align with personal preferences or sustainability goals. The target distance being unknown adds uncertainty, but I would lean towards private auto for reliability and comfort. Walking is less likely due to the age and the city's walkability."", ""San Francisco's hilly terrain and weather can make biking less appealing, especially for someone in my age group. Public transit might be a viable option if the destination is within walking distance of transit stops. The duration choices suggest that most trips are relatively short, which might favor walking or biking for shorter distances. However, with two vehicles available, private auto remains a strong option for longer distances."", ""Given the available modes and the context, private auto is the most reliable choice for a shopping trip, especially with two vehicles. Public transit is a secondary option if the destination is accessible by transit. Biking is less likely due to age and terrain, but might be considered for shorter distances. Walking is possible for very short trips, but less likely for the shopping context. The duration choices suggest that most trips are short, which might favor walking or biking, but private auto remains the most practical choice."", ""Since I'm not in the labor force, I have more flexibility in my transportation choices. I might prioritize convenience and comfort, which private auto provides. Public transit is an alternative if I'm looking to reduce costs or environmental impact. Biking is less likely due to age and the city's conditions, but could be considered for shorter trips. The unknown target distance means I might prefer private auto for reliability, especially since I have two vehicles available.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]"
6,14562581347610925279,57,female,unemployed,3,415882,three_plus,naics44_45,bachelors_degree,home,17,private_auto,10-20,55-64,$300k+,public_transit,10-20,"[""As someone in the 55-64 age group with a bachelor's degree and a high income, I am likely to prioritize comfort and convenience. Since I am unemployed, I may not need to rush, allowing for more flexible travel times. With three people in the household, there is a higher likelihood of carpooling or using public transit. Given the availability of three or more vehicles, private auto is a viable option, but I might prefer public transit for its reliability and cost-effectiveness. Walking and biking are possible for shorter distances, but with a higher age group, the likelihood of biking is lower. The duration is likely to be moderate as I am not in a rush.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
7,9576552710193662466,22,male,not_in_labor_force,1,0,zero,not_working,bachelors_degree,home,19,auto_passenger,10-20,18-24,Under $10k,walking,10-20,"[""As someone in the 18-24 age group with a bachelor's degree and no car, I'm more likely to use public transit or walk. However, since I'm not in the labor force, I might not have a regular commute. The high weight for public transit and walking makes sense for short distances. The lower weight for biking could be due to weather or safety concerns. The private auto and auto passenger options are less likely as I don't have a car. The duration choices reflect varying trip lengths, but I'd prioritize the most common modes first.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
8,6348336647541494293,21,male,employed,4,19595,one,naics722511,high_school,work,8,auto_passenger,10-20,18-24,$10k-$50k,private_auto,20-30,"[""As a young, employed individual with a household size of 4 in San Francisco, I prioritize convenience and time efficiency for my commute to work. Given the city's dense urban environment and extensive public transit options, I'm more likely to use public transit or private auto. However, since I have a car available, I might prefer private auto for faster travel. Walking and biking are less feasible due to distance and weather conditions. The duration choices reflect typical commute times for these modes.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}]"
9,8685067836990727789,41,male,employed,4,118306,zero,naics722513,high_school,work,8,public_transit,10-20,35-44,$100k-$150k,public_transit,30-40,"[""As a 35-44 year old employed individual with a household size of 4 and no available vehicles, I would likely rely on public transit due to the lack of personal transportation. However, the high cost of public transit in San Francisco may influence my decision. Given the limited options, I might consider carpooling or ride-sharing as an alternative. Since I have a high school education, I might not be familiar with alternative modes of transportation, which could affect my choice. The duration for public transit is typically longer, but it's the most feasible option given my circumstances.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.35}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]"
